Date,Symbol,Volume,Close/Last,Open,High,Low
11/1/21,AMZN,3608879,3318.11,3361.8,3375.86,3292.02
10/29/21,AMZN,6486077,3372.43,3300.02,3374.82,3273.32
10/28/21,AMZN,5708733,3446.57,3402.1,3479,3386
10/27/21,AMZN,2702224,3392.49,3388,3437,3371.45
10/26/21,AMZN,2698342,3376.07,3349.51,3416.12,3343.98
10/25/21,AMZN,2225956,3320.37,3335,3347.8,3297.7
10/22/21,AMZN,3139053,3335.55,3421,3429.84,3331.3
10/21/21,AMZN,1881385,3435.01,3414.25,3440.28,3403
10/20/21,AMZN,2139777,3415.06,3452.66,3462.86,3400.37
10/19/21,AMZN,2386079,3444.15,3434.29,3454.69,3422
10/18/21,AMZN,3174115,3446.74,3388.36,3449.17,3385.1
10/15/21,AMZN,5179941,3409.02,3311.42,3410.42,3304
10/14/21,AMZN,2112020,3299.86,3302.45,3312.6,3290.78
10/13/21,AMZN,2425086,3284.28,3269.71,3288.38,3261.09
10/12/21,AMZN,1819571,3247.33,3257,3267.53,3236.28
10/11/21,AMZN,2034203,3246.3,3275,3292.59,3238.1
10/8/21,AMZN,1998217,3288.62,3317,3321.43,3288.2
10/7/21,AMZN,2409075,3302.43,3291.54,3325.75,3283.06
10/6/21,AMZN,2532977,3262.01,3213.53,3264.34,3198.62
10/5/21,AMZN,3269208,3221,3204.5,3260.73,3202.46
10/4/21,AMZN,4523057,3189.78,3279.39,3279.99,3176.25
10/1/21,AMZN,2835617,3283.26,3289.01,3309.17,3255.94
9/30/21,AMZN,2847033,3285.04,3316,3327.85,3273.99
9/29/21,AMZN,2562268,3301.12,3322.11,3351.3,3297.87
9/28/21,AMZN,4430819,3315.96,3357.71,3369.19,3290.1
9/27/21,AMZN,3634450,3405.8,3371.5,3415.57,3339.61
9/24/21,AMZN,2116241,3425.52,3402.01,3429.26,3393.4
9/23/21,AMZN,2379414,3416,3380.05,3428.96,3380.05
9/22/21,AMZN,2411403,3380.05,3351,3389,3341.05
9/21/21,AMZN,2780878,3343.63,3375,3379.7,3332.39
9/20/21,AMZN,4669130,3355.73,3396,3419,3305.01
9/17/21,AMZN,4616556,3462.52,3488.42,3497.41,3452.13
9/16/21,AMZN,2583598,3488.24,3459.96,3492.55,3446.14
9/15/21,AMZN,2957537,3475.79,3442.52,3485.42,3402.01
9/14/21,AMZN,1936897,3450,3475.55,3486.81,3437.71
9/13/21,AMZN,2569022,3457.17,3482.8,3497.96,3438
9/10/21,AMZN,2397269,3469.15,3501.83,3508.45,3462.91
9/9/21,AMZN,2719241,3484.16,3526.02,3549.99,3480.37
9/8/21,AMZN,3053364,3525.5,3511.65,3545.63,3495.67
9/7/21,AMZN,2741184,3509.29,3478,3528.09,3476.94
9/3/21,AMZN,2578324,3478.05,3452,3482.67,3436.44
9/2/21,AMZN,2925594,3463.12,3494.76,3511.96,3455
9/1/21,AMZN,3629911,3479,3496.4,3527,3475.24
8/31/21,AMZN,4356413,3470.79,3424.8,3472.58,3395.59
8/30/21,AMZN,3192244,3421.57,3357.43,3445,3355.22
8/27/21,AMZN,2402369,3349.63,3333.23,3352.32,3313.75
8/26/21,AMZN,2098761,3316,3299,3332,3296
8/25/21,AMZN,1680306,3299.18,3309.87,3321,3286.15
8/24/21,AMZN,2551841,3305.78,3280,3315.49,3274.58
8/23/21,AMZN,3268131,3265.87,3211.9,3280.9,3210.01
8/20/21,AMZN,3358428,3199.95,3203.87,3207.81,3175.76
8/19/21,AMZN,3782862,3187.75,3194.02,3233,3182.46
8/18/21,AMZN,2804311,3201.22,3241.99,3254.1,3200
8/17/21,AMZN,3387922,3241.96,3277.5,3280.49,3225.68
8/16/21,AMZN,3328494,3298.99,3283,3300,3211.13
8/13/21,AMZN,2056699,3293.97,3305.67,3306.07,3283
8/12/21,AMZN,2323823,3303.5,3290,3314.51,3269.67
8/11/21,AMZN,2947249,3292.11,3331.45,3337.7,3277.79
8/10/21,AMZN,2412551,3320.68,3345.01,3358,3315
8/9/21,AMZN,2148220,3341.87,3343.61,3354.88,3328.52
8/6/21,AMZN,2637644,3344.94,3375,3375,3329.04
8/5/21,AMZN,2433503,3375.99,3356.22,3389,3340.92
8/4/21,AMZN,2183945,3354.72,3379.35,3388.88,3345.56
8/3/21,AMZN,4157343,3366.24,3340.72,3391,3299.77
8/2/21,AMZN,3353915,3331.48,3353.1,3358.92,3317
7/30/21,AMZN,9965593,3327.59,3347.95,3368.14,3306.98
7/29/21,AMZN,5519952,3599.92,3627.75,3637.95,3580.01
7/28/21,AMZN,2999378,3630.32,3633.78,3658.42,3601
7/27/21,AMZN,4131890,3626.39,3698.5,3698.5,3586.15
7/26/21,AMZN,2900068,3699.82,3673.17,3712.08,3647.25
7/23/21,AMZN,2436292,3656.64,3640,3666.11,3622.04
7/22/21,AMZN,3265352,3638.03,3587.23,3640.02,3582.27
7/21/21,AMZN,2318989,3585.2,3576.38,3586.45,3543.64
7/20/21,AMZN,3255680,3573.19,3567.32,3592,3518
7/19/21,AMZN,3784595,3549.59,3532.58,3550.21,3499.16
7/16/21,AMZN,4043706,3573.63,3633.31,3646.06,3570.46
7/15/21,AMZN,3185292,3631.2,3694.2,3695.4,3620.92
7/14/21,AMZN,3296568,3681.68,3708.85,3717.66,3660.83
7/13/21,AMZN,3845917,3677.36,3702.1,3773.08,3671.32
7/12/21,AMZN,2571635,3718.55,3744,3757.29,3696.79
