Date,Symbol,Volume,Close/Last,Open,High,Low
11/1/21,AAPL,74588260,148.96,148.99,149.7,147.8
10/29/21,AAPL,124953200,149.8,147.22,149.94,146.41
10/28/21,AAPL,100077900,152.57,149.82,153.17,149.72
10/27/21,AAPL,56094930,148.85,149.36,149.73,148.49
10/26/21,AAPL,60893400,149.32,149.33,150.84,149.01
10/25/21,AAPL,50720560,148.64,148.68,149.37,147.62
10/22/21,AAPL,58883440,148.69,149.69,150.18,148.64
10/21/21,AAPL,61420990,149.48,148.81,149.64,147.87
10/20/21,AAPL,58418790,149.26,148.7,149.75,148.12
10/19/21,AAPL,76378890,148.76,147.01,149.17,146.55
10/18/21,AAPL,85589180,146.55,143.45,146.84,143.16
10/15/21,AAPL,67940330,144.84,143.77,144.9,143.51
10/14/21,AAPL,69907100,143.76,142.11,143.88,141.51
10/13/21,AAPL,78762720,140.91,141.24,141.4,139.2
10/12/21,AAPL,73035860,141.51,143.23,143.25,141.04
10/11/21,AAPL,64452220,142.81,142.27,144.81,141.81
10/8/21,AAPL,58773160,142.9,144.03,144.18,142.56
10/7/21,AAPL,61732660,143.29,143.06,144.22,142.72
10/6/21,AAPL,83221120,142,139.47,142.15,138.37
10/5/21,AAPL,80861060,141.11,139.49,142.24,139.36
10/4/21,AAPL,98322010,139.14,141.76,142.21,138.27
10/1/21,AAPL,94639580,142.65,141.9,142.92,139.11
9/30/21,AAPL,89056660,141.5,143.66,144.38,141.28
9/29/21,AAPL,74602040,142.83,142.47,144.45,142.03
9/28/21,AAPL,108972300,141.91,143.25,144.75,141.69
9/27/21,AAPL,74150730,145.37,145.47,145.96,143.82
9/24/21,AAPL,53477870,146.92,145.66,147.47,145.56
9/23/21,AAPL,64838170,146.83,146.65,147.08,145.64
9/22/21,AAPL,76404340,145.85,144.45,146.43,143.7
9/21/21,AAPL,75833960,143.43,143.93,144.6,142.78
9/20/21,AAPL,123478900,142.94,143.8,144.84,141.27
9/17/21,AAPL,129868800,146.06,148.82,148.82,145.76
9/16/21,AAPL,68034150,148.79,148.44,148.97,147.22
9/15/21,AAPL,83281320,149.03,148.56,149.44,146.37
9/14/21,AAPL,109296300,148.12,150.35,151.07,146.91
9/13/21,AAPL,102404300,149.55,150.63,151.42,148.75
9/10/21,AAPL,140893200,148.97,155,155.48,148.7
9/9/21,AAPL,57305730,154.07,155.49,156.11,153.95
9/8/21,AAPL,74420210,155.11,156.98,157.04,153.98
9/7/21,AAPL,82278260,156.69,154.97,157.26,154.39
9/3/21,AAPL,57866070,154.3,153.76,154.63,153.09
9/2/21,AAPL,71171320,153.65,153.87,154.72,152.4
9/1/21,AAPL,80313710,152.51,152.83,154.98,152.34
8/31/21,AAPL,86453120,151.83,152.66,152.8,151.29
8/30/21,AAPL,90956720,153.12,149,153.49,148.61
8/27/21,AAPL,55802390,148.6,147.48,148.75,146.83
8/26/21,AAPL,48597200,147.54,148.35,149.12,147.51
8/25/21,AAPL,58991300,148.36,149.81,150.32,147.8
8/24/21,AAPL,48606430,149.62,149.45,150.86,149.15
8/23/21,AAPL,60131810,149.71,148.31,150.19,147.89
8/20/21,AAPL,60549630,148.19,147.44,148.5,146.78
8/19/21,AAPL,86960310,146.7,145.03,148,144.5
8/18/21,AAPL,86325990,146.36,149.8,150.72,146.15
8/17/21,AAPL,92229740,150.19,150.23,151.68,149.09
8/16/21,AAPL,103558800,151.12,148.54,151.19,146.47
8/13/21,AAPL,59375010,149.1,148.97,149.44,148.27
8/12/21,AAPL,73779110,148.89,146.19,149.05,145.84
8/11/21,AAPL,48493460,145.86,146.05,146.72,145.53
8/10/21,AAPL,69023080,145.6,146.44,147.71,145.3
8/9/21,AAPL,48908690,146.09,146.2,146.7,145.52
8/6/21,AAPL,54126810,146.14,146.35,147.11,145.63
8/5/21,AAPL,46397670,147.06,146.98,147.84,146.17
8/4/21,AAPL,56368270,146.95,147.27,147.79,146.28
8/3/21,AAPL,64786620,147.36,145.81,148.05,145.18
8/2/21,AAPL,62879960,145.52,146.36,146.95,145.25
7/30/21,AAPL,70440630,145.86,144.38,146.33,144.11
7/29/21,AAPL,56699480,145.64,144.69,146.55,144.58
7/28/21,AAPL,118931200,144.98,144.81,146.97,142.54
7/27/21,AAPL,104818600,146.77,149.12,149.21,145.55
7/26/21,AAPL,72434090,148.99,148.27,149.83,147.7
7/23/21,AAPL,71447420,148.56,147.55,148.72,146.92
7/22/21,AAPL,77338160,146.8,145.94,148.2,145.81
7/21/21,AAPL,74993460,145.4,145.53,146.13,144.63
7/20/21,AAPL,96350040,146.15,143.46,147.1,142.96
7/19/21,AAPL,121434600,142.45,143.75,144.07,141.67
7/16/21,AAPL,93251430,146.39,148.46,149.76,145.88
7/15/21,AAPL,106820300,148.48,149.24,150,147.09
7/14/21,AAPL,127050800,149.15,148.1,149.57,147.68
7/13/21,AAPL,100827100,145.64,144.03,147.46,143.63
7/12/21,AAPL,76299720,144.5,146.21,146.32,144
7/9/21,AAPL,99890800,145.11,142.75,145.65,142.65
7/8/21,AAPL,105575500,143.24,141.58,144.06,140.67
7/7/21,AAPL,104911600,144.57,143.54,144.89,142.66
7/6/21,AAPL,108181800,142.02,140.07,143.15,140.07
