Date,Symbol,Volume,Close/Last,Open,High,Low
11/1/21,GOOG,1613605,2875.48,2963.3,2967.99,2871.59
10/29/21,GOOG,1447725,2965.41,2910.4,2972.26,2903.33
10/28/21,GOOG,1620903,2922.58,2945.98,2948.49,2895.27
10/27/21,GOOG,2592546,2928.55,2798.05,2982.36,2798.05
10/26/21,GOOG,1412937,2793.44,2812.12,2816.79,2780.11
10/25/21,GOOG,1054085,2775.46,2776.21,2784.12,2734.97
10/22/21,GOOG,1509132,2772.5,2807.02,2831.17,2743.41
10/21/21,GOOG,742496,2855.61,2843.84,2856.99,2832.74
10/20/21,GOOG,896975,2848.3,2884.45,2884.96,2838.24
10/19/21,GOOG,765792,2876.44,2865.83,2882.14,2861.92
10/18/21,GOOG,828360,2859.21,2824.27,2859.98,2824.27
10/15/21,GOOG,1062668,2833.5,2844,2844,2821.29
10/14/21,GOOG,1071878,2828.24,2799.04,2833.03,2786.78
10/13/21,GOOG,819664,2758,2755,2771,2739.53
10/12/21,GOOG,1126751,2734.26,2792.75,2793.9,2725
10/11/21,GOOG,829238,2776.95,2796,2815.27,2776.13
10/8/21,GOOG,946421,2801.12,2798.12,2806.34,2788.59
10/7/21,GOOG,912523,2783.71,2777.26,2803.09,2771.26
10/6/21,GOOG,988216,2747.08,2692.51,2757.04,2689.73
10/5/21,GOOG,1206337,2723.54,2680,2747.24,2680
10/4/21,GOOG,1576495,2675.3,2713.99,2714,2623.33
10/1/21,GOOG,1419365,2729.25,2671.09,2741.42,2667.55
9/30/21,GOOG,1768199,2665.31,2686.5,2711.8,2660
9/29/21,GOOG,1316861,2690.42,2742.19,2747.97,2685
9/28/21,GOOG,2109483,2723.68,2781.77,2792.13,2714
9/27/21,GOOG,942204,2830.02,2831.71,2850,2810
9/24/21,GOOG,747467,2852.66,2818.92,2858.07,2817.01
9/23/21,GOOG,863805,2836.53,2832.19,2845.05,2821.93
9/22/21,GOOG,1103390,2818.77,2801.01,2831.67,2789.44
9/21/21,GOOG,906469,2792.93,2802.34,2816.23,2778.11
9/20/21,GOOG,1745886,2780.34,2780,2787.25,2741.06
9/17/21,GOOG,3001991,2829.27,2875.97,2884.99,2821.23
9/16/21,GOOG,1014942,2887.47,2902.42,2904,2868.33
9/15/21,GOOG,1032671,2904.12,2875.18,2911.63,2845.12
9/14/21,GOOG,945957,2868.12,2883.22,2894.55,2858.11
9/13/21,GOOG,1008781,2869.3,2864.02,2883.82,2845.65
9/10/21,GOOG,1644831,2838.42,2908.87,2920.38,2834.83
9/9/21,GOOG,739928,2898.27,2897.67,2913.39,2888.68
9/8/21,GOOG,774583,2897.67,2907.87,2911.02,2884
9/7/21,GOOG,758630,2910.38,2894.99,2916.48,2890.82
9/3/21,GOOG,955524,2895.5,2882.92,2907.54,2870.1
9/2/21,GOOG,1092790,2884.38,2918.99,2926.5,2882.13
9/1/21,GOOG,791234,2916.84,2913,2936.41,2912.29
8/31/21,GOOG,1337821,2909.24,2917.69,2922.24,2900
8/30/21,GOOG,845795,2909.39,2894.09,2929.79,2892
8/27/21,GOOG,1228412,2891.01,2842.25,2900.22,2840.4
8/26/21,GOOG,746100,2842.46,2852.37,2862.7,2841.83
8/25/21,GOOG,642153,2859,2857.66,2866.26,2848.79
8/24/21,GOOG,756313,2847.97,2830.87,2860.15,2827.07
8/23/21,GOOG,1054484,2821.99,2779.97,2843.54,2774.96
8/20/21,GOOG,778337,2768.74,2741.66,2772.29,2729.34
8/19/21,GOOG,914796,2738.27,2709.35,2749.04,2707.12
8/18/21,GOOG,746723,2731.4,2742.31,2765.88,2728.42
8/17/21,GOOG,1063701,2746.01,2763.82,2774.37,2735.75
8/16/21,GOOG,902542,2778.32,2760,2779.81,2723.32
8/13/21,GOOG,629029,2768.12,2767.15,2773.48,2760.1
8/12/21,GOOG,732470,2767.79,2754.26,2768.36,2735.58
8/11/21,GOOG,760483,2753.79,2765.66,2776.96,2747
