Date,Symbol,Volume,Close/Last,Open,High,Low
11/1/21,HON,1697845,219.76,218.7,220.05,218.07
10/29/21,HON,2615366,218.62,218,220.3,217.06
10/28/21,HON,1947870,218.48,214.38,218.78,214.38
10/27/21,HON,1647056,215.72,218.1,218.16,215.22
10/26/21,HON,2443872,218.32,218.2,220.47,216.77
10/25/21,HON,2710431,217.54,216.81,219,215.65
10/22/21,HON,3498592,217.4,222.97,223.9,217.24
10/21/21,HON,2649235,224.52,223.62,224.86,221.24
10/20/21,HON,1657049,223.64,222.23,223.69,220.83
10/19/21,HON,1599630,221.78,221.36,221.84,219.46
10/18/21,HON,1883500,220.63,218.58,221.47,217.84
10/15/21,HON,2180601,220.72,220.3,221.45,219.26
10/14/21,HON,1425556,218.59,217.16,218.78,216.53
10/13/21,HON,1600202,215.58,215.29,216.68,212.94
10/12/21,HON,1383809,214.33,215.7,216.24,213.93
10/11/21,HON,1355214,215.29,217.38,218.22,215.26
10/8/21,HON,1344880,217.7,218.68,219.55,216.74
10/7/21,HON,1852850,218.37,218,219.86,217.71
10/6/21,HON,1736021,216.86,213.77,216.99,213.12
10/5/21,HON,1560184,215.72,213.61,217.05,213.61
10/4/21,HON,2632280,214.21,215.25,216.62,213.19
10/1/21,HON,2276496,215.65,212.98,216.42,211.64
9/30/21,HON,2934371,212.28,216.17,216.25,212.1
9/29/21,HON,2109054,214.92,215.83,216.41,214.55
9/28/21,HON,2654294,214.97,216.62,218.35,214.47
9/27/21,HON,2199324,217.9,218.94,219.83,217.73
9/24/21,HON,1949073,219.19,219.74,220.81,218.47
9/23/21,HON,2180071,219.7,217.3,221.37,217.3
9/22/21,HON,2281095,217.02,216.44,218.43,216.32
9/21/21,HON,2568859,214.9,216.79,216.94,214.35
9/20/21,HON,4008647,215.73,216.09,217.84,214.19
9/17/21,HON,4391758,218.49,219.86,219.86,217.5
9/16/21,HON,2393535,219.65,221.27,221.41,218.52
9/15/21,HON,2021753,221.69,220.63,222.91,220.14
9/14/21,HON,2699929,220.19,224.05,224.12,219.71
9/13/21,HON,2771647,223.6,224.32,225.71,222.21
9/10/21,HON,2357909,222.37,222.97,225.19,222.21
9/9/21,HON,1937886,222.93,223.91,224.98,222.33
9/8/21,HON,2428562,224.4,222.75,224.9,221.82
9/7/21,HON,3222871,222.93,227.7,227.7,222.77
9/3/21,HON,1622429,228.36,231,231,227.77
9/2/21,HON,1594550,230.97,230.92,231.44,229.77
9/1/21,HON,2484573,229.8,232.95,233.19,229.3
8/31/21,HON,1956313,231.91,231.43,232.65,230.57
8/30/21,HON,1318283,231.87,231.22,232.78,230.56
8/27/21,HON,1663624,231.14,231.58,233.56,230.66
8/26/21,HON,1303319,230.88,230.08,231.18,229.43
8/25/21,HON,1804246,230.66,230.86,232.34,228.8
8/24/21,HON,1265726,230.44,228.85,230.92,228.31
8/23/21,HON,2143468,229.11,227.25,231.61,227.25
8/20/21,HON,2081067,227.7,228.13,228.73,226.51
8/19/21,HON,1945127,227.73,227.58,229.24,226.04
8/18/21,HON,2555304,228.42,229.96,231.49,228.24
8/17/21,HON,2679136,231.45,233.19,233.7,228.34
8/16/21,HON,1794620,233.74,231.86,233.8,230.17
8/13/21,HON,1404791,231.76,231.85,232.66,231.15
