Date,Symbol,Volume,Close/Last,Open,High,Low
11/1/21,MSFT,27073180,329.37,331.36,331.49,326.37
10/29/21,MSFT,34765980,331.62,324.13,332,323.9
10/28/21,MSFT,26297940,324.35,324.33,324.87,321.36
10/27/21,MSFT,52588690,323.17,316,326.1,316
10/26/21,MSFT,28107350,310.11,311,312.4,308.6
10/25/21,MSFT,17554470,308.13,309.36,309.4,306.46
10/22/21,MSFT,17449330,309.16,310.4,311.09,307.8
10/21/21,MSFT,16918100,310.76,307.17,311.02,306.36
10/20/21,MSFT,16537070,307.41,309.21,309.7,306.11
10/19/21,MSFT,17682140,308.23,308.35,309.3,307.22
10/18/21,MSFT,22729300,307.29,303.57,308.21,302.69
10/15/21,MSFT,25384800,304.21,302.34,304.45,300.52
10/14/21,MSFT,27262900,302.75,299.21,303.27,297.83
10/13/21,MSFT,23424030,296.31,294.91,297.28,293.49
10/12/21,MSFT,17974140,292.88,295.34,295.44,292.35
10/11/21,MSFT,19298630,294.23,292.92,297.97,292.75
10/8/21,MSFT,17685700,294.85,296.22,296.64,293.76
10/7/21,MSFT,20430470,294.85,295.18,296.64,293.92
10/6/21,MSFT,28002560,293.11,285.78,293.63,285.51
10/5/21,MSFT,24993020,288.76,284.05,290.4,284.05
10/4/21,MSFT,31350750,283.11,287.4,287.75,280.25
10/1/21,MSFT,30086280,289.1,282.12,289.98,281.29
9/30/21,MSFT,32343640,281.92,285.71,287.83,281.62
9/29/21,MSFT,26353700,284,285.1,286.77,283.01
9/28/21,MSFT,43186240,283.52,289.8,290.78,282.75
9/27/21,MSFT,23571740,294.17,296.14,296.47,292.94
9/24/21,MSFT,14998980,299.35,298.23,299.8,296.93
9/23/21,MSFT,18604600,299.56,298.85,300.9,297.53
9/22/21,MSFT,26626340,298.58,296.73,300.22,294.51
9/21/21,MSFT,22364100,294.8,295.69,297.54,294.07
9/20/21,MSFT,38278660,294.3,296.33,298.72,289.52
9/17/21,MSFT,41372460,299.87,304.17,304.5,299.53
9/16/21,MSFT,19550820,305.22,303.76,305.31,300.76
9/15/21,MSFT,28356300,304.82,303.26,305.32,301.82
9/14/21,MSFT,21853430,299.79,299.56,301.39,298.1
9/13/21,MSFT,23652950,296.99,297.55,298.54,294.08
9/10/21,MSFT,19633360,295.71,298.42,299.92,295.38
9/9/21,MSFT,19927000,297.25,300.82,302.14,297
9/8/21,MSFT,15046820,300.21,299.78,300.61,297.47
9/7/21,MSFT,17184080,300.18,301.01,301.09,298.2
9/3/21,MSFT,14751610,301.14,300.99,302.6,300.26
9/2/21,MSFT,16290550,301.15,302.2,303.36,300.18
9/1/21,MSFT,18983830,301.83,302.87,305.19,301.49
8/31/21,MSFT,26285340,301.88,304.42,304.5,301.5
8/30/21,MSFT,16348070,303.59,301.12,304.22,301.06
8/27/21,MSFT,22605730,299.72,298.99,300.87,296.83
8/26/21,MSFT,17666080,299.09,300.99,302.43,298.95
8/25/21,MSFT,20006060,302.01,304.3,304.59,300.42
8/24/21,MSFT,18175770,302.62,305.02,305.65,302
8/23/21,MSFT,22830160,304.65,303.25,305.4,301.85
8/20/21,MSFT,40817650,304.36,299.72,305.84,298.06
8/19/21,MSFT,29850460,296.77,288.69,297.47,288.64
8/18/21,MSFT,21812990,290.73,292.04,294.82,290.27
8/17/21,MSFT,20075250,293.08,292.39,293.43,291.08
8/16/21,MSFT,22516030,294.6,293.19,294.82,290.02
8/13/21,MSFT,18249050,292.85,289.48,292.9,289.3
8/12/21,MSFT,14570390,289.81,286.63,289.97,286.34
8/11/21,MSFT,13955930,286.95,287.21,288.66,285.86
8/10/21,MSFT,18616580,286.44,288.8,289.25,285.2
8/9/21,MSFT,16117630,288.33,289.75,291.55,287.81
8/6/21,MSFT,16589340,289.46,288.51,289.5,287.62
8/5/21,MSFT,13900170,289.52,286.88,289.63,286.1
