Date,Symbol,Volume,Close/Last,Open,High,Low
11/1/21,AMD,54559780,125.23,119.45,125.67,118.13
10/29/21,AMD,43320130,120.23,120.95,122.57,119.88
10/28/21,AMD,58002460,121.16,122.86,123.5,120.26
10/27/21,AMD,98245320,122.28,121.63,128.08,121.05
10/26/21,AMD,59458930,122.93,122.99,127.2,122.58
10/25/21,AMD,47834120,122.36,120.52,123.46,118.6
10/22/21,AMD,38992690,119.82,120.83,121.56,118.37
10/21/21,AMD,34794950,119.33,116.5,119.68,116.26
10/20/21,AMD,34244810,116.39,116.29,118.3,115.42
10/19/21,AMD,39593940,116.33,116.16,117.17,114.47
10/18/21,AMD,47537760,116.43,111.9,116.88,111.37
10/15/21,AMD,34203010,112.12,112.51,112.84,111.11
10/14/21,AMD,46900160,111.99,110.5,112.22,109.63
10/13/21,AMD,55631920,109.16,106.28,109.88,106.25
10/12/21,AMD,34039910,105.04,105.17,106.04,104.34
10/11/21,AMD,31284390,104.68,104.62,107.2,104.02
10/8/21,AMD,30623050,105.06,106.55,107.28,104.89
10/7/21,AMD,41543110,106.45,104.6,107.95,104.46
10/6/21,AMD,39071700,103.64,100.45,103.72,100.35
10/5/21,AMD,31455250,101.81,100.92,102.87,100.61
10/4/21,AMD,41967150,100.34,101.74,101.85,99.82
10/1/21,AMD,41491590,102.45,102.6,103,100.64
9/30/21,AMD,57636700,102.9,102.08,104.44,101.99
9/29/21,AMD,52224720,100.35,102.3,102.66,99.81
9/28/21,AMD,74468970,101.52,106.84,107.65,101.42
9/27/21,AMD,51944350,108.16,105.07,108.44,103.44
9/24/21,AMD,26482610,105.8,105.19,106.05,104.68
9/23/21,AMD,32816660,106.15,104.89,106.86,103.89
9/22/21,AMD,34126280,104.38,102.82,104.56,102.21
9/21/21,AMD,35481500,102.82,102.15,103.43,101.18
9/20/21,AMD,45228410,101.55,101.58,102.51,99.51
9/17/21,AMD,44528340,103.88,105.56,105.98,103.71
9/16/21,AMD,38150270,106.22,104.92,106.75,103.76
9/15/21,AMD,37998940,105.6,106,106.32,104.03
9/14/21,AMD,40629530,105.73,105.52,106.82,104.42
9/13/21,AMD,37767790,104.8,105.26,105.28,102.63
9/10/21,AMD,32602290,105.2,106.99,106.99,104.98
9/9/21,AMD,31857870,106.15,106.56,107.3,105.84
9/8/21,AMD,43067910,106.17,108.88,109.3,105.52
9/7/21,AMD,28815230,109.15,109.96,110.58,108.66
9/3/21,AMD,42623780,109.92,108.85,111.17,108.5
9/2/21,AMD,40108760,109.2,110.32,110.88,108.77
9/1/21,AMD,38579560,109.99,111.3,111.85,109.85
8/31/21,AMD,49338960,110.72,111.26,111.26,109.03
8/30/21,AMD,56130470,111.32,112.61,114.49,111.26
8/27/21,AMD,61030010,111.4,108.01,111.78,107.8
8/26/21,AMD,51442550,107.27,108.57,109.23,106.84
8/25/21,AMD,45485500,108.3,108.13,109.91,107.45
8/24/21,AMD,51239300,107.65,109.45,109.61,107.28
8/23/21,AMD,68835280,108.77,105.3,109.02,104.86
8/20/21,AMD,55227560,104.65,104.32,105.98,103.99
8/19/21,AMD,71117490,103.7,103.32,106.18,101.98
8/18/21,AMD,79387940,103.44,107.35,108.07,103.27
8/17/21,AMD,74053910,107.56,106.64,108.7,105.35
8/16/21,AMD,73398940,107.48,110.2,111.58,105.87
8/13/21,AMD,100135700,110.55,107.17,111.71,106.57
8/12/21,AMD,60625730,106.5,107.39,108.44,105.86
8/11/21,AMD,91788290,107.68,107.6,109.79,105.62
8/10/21,AMD,113012300,106.48,107.9,109.17,104.36
8/9/21,AMD,115749900,107.58,111.31,112.33,107.06
8/6/21,AMD,143899000,110.11,110.55,116.26,109.7
8/5/21,AMD,137860900,112.35,116.63,117.68,111.59
8/4/21,AMD,225368700,118.77,114.36,122.49,114.16
8/3/21,AMD,157723100,112.56,108.15,114.85,107.66
8/2/21,AMD,115581900,108.63,105.93,110.33,103.83
7/30/21,AMD,125632000,106.19,101.6,106.97,101.38
7/29/21,AMD,164091800,102.95,96.58,105.74,96.58
7/28/21,AMD,140561000,97.93,93.44,98.71,89.65
7/27/21,AMD,69427020,91.03,92.94,94.1,89.1
7/26/21,AMD,27668460,91.82,92.01,92.75,91.12
7/23/21,AMD,31708900,92.15,91.35,92.37,90.19
7/22/21,AMD,33730080,91.21,89.4,91.36,89.08
7/21/21,AMD,29469860,89.41,87.25,89.49,86.9
7/20/21,AMD,28088960,87.11,87.09,87.77,85.17
7/19/21,AMD,39244800,86.58,84.99,87.23,84.24
7/16/21,AMD,35860740,85.89,87.32,88.03,85.68
7/15/21,AMD,38944740,86.93,89.78,89.78,86.18
7/14/21,AMD,28108510,89.05,90.76,91.4,88.94
7/13/21,AMD,30367600,90.26,90.48,91.41,89.83
7/12/21,AMD,28526560,90.81,91.22,91.9,89.65
7/9/21,AMD,35278420,90.9,90.04,91.26,88.53
7/8/21,AMD,45673450,89.74,87.86,90.34,87.45
7/7/21,AMD,51498480,90.54,95.02,95.44,90.31
7/6/21,AMD,44930120,94.47,94.88,95.41,93.32
7/2/21,AMD,51342980,94.7,93.28,95.27,92.21
7/1/21,AMD,58059020,93.31,94.04,94.18,91.7
6/30/21,AMD,70721530,93.93,90.82,94.34,90.6
6/29/21,AMD,46181000,89.52,87.41,90.3,86.66
6/28/21,AMD,30262040,87.08,86.38,88,86.15
6/25/21,AMD,27804540,85.62,86.34,86.36,85.1
6/24/21,AMD,42217670,86.1,84.39,87.14,84.37
6/23/21,AMD,25992440,83.82,83.83,84.49,83.16
6/22/21,AMD,32107700,83.58,82.9,84.04,82.48
6/21/21,AMD,44417110,82.59,83.49,84.19,82.21
6/18/21,AMD,58736810,84.65,84.28,85.77,83.48
6/17/21,AMD,77822820,84.56,80.77,85.37,80.57
6/16/21,AMD,29598310,80.11,80.75,81.45,78.96
6/15/21,AMD,26194340,80.47,81.59,81.68,80.23
6/14/21,AMD,27830240,81.55,81.51,81.55,80.2
6/11/21,AMD,24310890,81.31,81.61,82.33,80.7
6/10/21,AMD,28606360,81.56,80.02,81.71,79.7
6/9/21,AMD,28454650,79.96,81.09,81.68,79.8
6/8/21,AMD,26956630,80.89,81.87,82.65,80.45
6/7/21,AMD,29006780,81.35,81.4,81.68,80.38
6/4/21,AMD,26387800,81.58,80.92,82.19,80.81
6/3/21,AMD,29811970,80.28,81.13,81.89,80.26
6/2/21,AMD,35203220,81.97,81,82.6,80.66
6/1/21,AMD,43433040,80.81,81.01,82.91,80.66
5/28/21,AMD,40952660,80.08,78.66,81.09,78.66
5/27/21,AMD,35883220,78.42,78.11,78.43,77.47
5/26/21,AMD,30354000,78.34,77.83,78.59,77.59
5/25/21,AMD,47353100,77.86,77.33,78.77,76.84
5/24/21,AMD,33194290,77.44,77.26,78.01,76.8
5/21/21,AMD,40201090,77.17,78.55,78.81,77.04
5/20/21,AMD,49135010,78.06,76.81,78.27,76.25
5/19/21,AMD,73966160,76.23,73.16,76.97,72.76
5/18/21,AMD,31982480,74.44,74.74,75.77,74.24
5/17/21,AMD,40722380,74.65,74.22,75.52,73.41
5/14/21,AMD,38355790,74.59,74.02,75.03,72.72
5/13/21,AMD,48646750,73.09,75.21,75.7,72.5
5/12/21,AMD,42531420,74.64,75.09,76.13,74.16
5/11/21,AMD,51008240,76.83,73.57,76.93,72.75
5/10/21,AMD,45134490,75.99,78.2,78.3,75.92
5/7/21,AMD,36954180,78.81,78.75,79.57,78.22
5/6/21,AMD,38661330,77.89,77.63,78.06,76.47
5/5/21,AMD,42310150,77.83,79.05,79.3,77.36
5/4/21,AMD,59194330,78.61,77.95,78.67,77.04
5/3/21,AMD,66323270,78.55,81.97,82,78.46
