Date,Symbol,Volume,Close/Last,Open,High,Low
11/1/21,FB,31518890,329.98,326.04,333.45,326
10/29/21,FB,37059380,323.57,320.19,326,319.6
10/28/21,FB,50806840,316.92,312.99,325.52,308.11
10/27/21,FB,29971760,312.22,314.19,319.25,312.06
10/26/21,FB,65654040,315.81,328.26,330.21,309.6
10/25/21,FB,38408960,328.69,320.3,329.56,319.72
10/22/21,FB,35224540,324.61,326.35,329.63,321.11
10/21/21,FB,16354420,341.88,340.28,342.31,337.8
10/20/21,FB,13639470,340.78,343.45,343.98,339.45
10/19/21,FB,18786320,339.99,339.65,342.46,337.28
10/18/21,FB,21585020,335.34,328.95,335.89,327.5
10/15/21,FB,21596370,324.76,328.68,329.07,322.51
10/14/21,FB,14302150,328.53,328.36,330.52,327.1
10/13/21,FB,14761470,324.54,326.97,327,322.66
10/12/21,FB,31658680,323.77,323.03,324.38,317.37
10/11/21,FB,14708220,325.45,327.63,330.46,325.31
10/8/21,FB,15946110,330.05,331.51,333.4,328.71
10/7/21,FB,28307460,329.22,337,338.84,328.98
10/6/21,FB,26443010,333.64,329.74,334.38,325.8
10/5/21,FB,35377950,332.96,328.58,335.18,326.16
10/4/21,FB,42884980,326.23,335.53,335.94,322.7
10/1/21,FB,14905310,343.01,341.61,345.02,338.64
9/30/21,FB,16547090,339.39,340.45,342.8,338.15
9/29/21,FB,14452240,339.61,343.15,345.23,338.88
9/28/21,FB,21710290,340.65,347.97,349.6,338.92
9/27/21,FB,15205840,353.58,349.81,355.15,347.08
9/24/21,FB,18801930,352.96,343.24,354.35,342.37
9/23/21,FB,21806260,345.96,345.36,349.67,343
9/22/21,FB,43692860,343.21,347.23,349.84,340.69
9/21/21,FB,11751920,357.48,358.5,360.04,355.19
9/20/21,FB,19822770,355.7,359.3,361.03,349.8
9/17/21,FB,26298970,364.72,371.41,371.41,361.59
9/16/21,FB,11934220,373.06,372.79,373.56,369.71
9/15/21,FB,17940300,373.92,377,377.56,367.67
9/14/21,FB,8711569,376.53,377.4,378.59,375.11
9/13/21,FB,13026280,376.51,381.68,381.75,374.35
9/10/21,FB,11549600,378.69,381.36,383.79,378.26
9/9/21,FB,9098941,378,377.64,379.83,376.57
9/8/21,FB,11067170,377.57,380.16,380.87,374.79
9/7/21,FB,10798920,382.18,375.88,382.96,373.15
9/3/21,FB,7511356,376.26,374.75,377.16,373.11
9/2/21,FB,14838270,375.28,381.5,381.75,374.06
9/1/21,FB,11567160,382.05,379.59,384.33,378.81
8/31/21,FB,12345350,379.38,379.95,382.76,378.8
8/30/21,FB,13547260,380.66,372.56,381.49,370.52
8/27/21,FB,11219140,372.63,365.1,373.74,364.08
8/26/21,FB,7888683,364.38,368.38,369.44,364.13
8/25/21,FB,9684519,368.39,365.6,370.86,365.4
8/24/21,FB,9235148,365.51,363.66,367.96,361.84
8/23/21,FB,10942010,363.35,359.44,365.69,359.1
8/20/21,FB,8697667,359.37,354.6,359.99,353.31
8/19/21,FB,12004540,355.12,351.35,357.57,351
8/18/21,FB,10042380,355.45,356.25,359.86,355.15
8/17/21,FB,12328740,358.45,362.98,364.67,355.07
8/16/21,FB,11232270,366.56,362.52,366.95,357.38
8/13/21,FB,7195724,363.18,362.97,364.66,361.48
8/12/21,FB,7175206,362.65,358.45,363,357.11
8/11/21,FB,8400332,359.96,362.1,362.36,357.81
8/10/21,FB,7469878,361.13,361.83,364.1,359.04
8/9/21,FB,7798872,361.61,363.76,365.78,360.75
8/6/21,FB,8925017,363.51,361.4,365.15,361.4
8/5/21,FB,10247210,362.97,359.64,363.9,356.9
8/4/21,FB,14180570,358.92,352.42,360.48,351.51
8/3/21,FB,12406050,351.24,352.73,353.77,347.7
8/2/21,FB,13180440,351.95,358.1,359.4,350.74
7/30/21,FB,15976180,356.3,354,360.73,352.94
7/29/21,FB,33413240,358.32,361,365.52,356.74
7/28/21,FB,29676910,373.28,374.56,377.55,366.93
7/27/21,FB,15705450,367.81,371.91,373.15,364.55
7/26/21,FB,14925220,372.46,369.58,374.44,368.22
7/23/21,FB,33694330,369.79,360.91,375.33,357.19
7/22/21,FB,12385440,351.19,346.68,351.54,345.21
7/21/21,FB,9279657,346.23,341.5,346.52,341.25
7/20/21,FB,11024280,341.66,338.8,343.45,334.5
7/19/21,FB,14372350,336.95,337.57,339.79,334.54
7/16/21,FB,11026090,341.16,344.91,345.99,340.14
7/15/21,FB,14781590,344.46,349.23,349.23,340.22
7/14/21,FB,13894220,347.63,354.56,355.2,346.73
7/13/21,FB,11455960,352.09,351.5,358.49,348.8
7/12/21,FB,10018620,353.16,351.23,354.19,349.64
7/9/21,FB,13018690,350.42,345.32,350.71,345.27
7/8/21,FB,14406460,345.65,345.73,348.33,342.56
7/7/21,FB,14218870,350.49,355.26,356.49,350
7/6/21,FB,13488460,352.78,356.5,358.79,349.18
7/2/21,FB,11524610,354.7,355.1,356.44,352.62
7/1/21,FB,17137020,354.39,346.82,354.67,346.5
6/30/21,FB,15107510,347.71,352.17,352.92,347.17
6/29/21,FB,21417310,351.89,356.27,356.74,349.05
6/28/21,FB,29156130,355.64,342.46,358.14,341.77
6/25/21,FB,14594440,341.37,342.59,344.12,339.68
6/24/21,FB,12329100,343.18,341.85,344.9,341.79
6/23/21,FB,14817820,340.59,339.35,343.42,338.2
6/22/21,FB,15345300,339.03,332.69,339.92,332.6
6/21/21,FB,11337520,332.29,331.09,332.92,327.65
6/18/21,FB,23039460,329.66,334.53,336.15,329
6/17/21,FB,17794080,336.51,330.49,337.98,330.15
