Date,Symbol,Volume,Close/Last,Open,High,Low
11/1/21,MAR,2178086,161.83,160.4,162.15,159.29
10/29/21,MAR,2025350,160.02,159,161.05,157.45
10/28/21,MAR,2317612,159.97,159.56,162.31,158.26
10/27/21,MAR,2100301,159.8,155.07,160.56,154.18
10/26/21,MAR,1804264,156.04,156.65,157.61,155.17
10/25/21,MAR,1434282,154.79,155.28,156.17,153.45
10/22/21,MAR,996318,154.75,155.31,155.96,154.13
10/21/21,MAR,1192894,155.65,153.55,155.78,152.84
10/20/21,MAR,2402898,153.27,154.75,155.19,152.65
10/19/21,MAR,2619787,155.02,158,158.9,154.49
10/18/21,MAR,1541852,159.21,159,160.44,158.22
10/15/21,MAR,2801381,160.04,157.11,161.42,157
10/14/21,MAR,1978432,155.22,155.87,156.54,154.07
10/13/21,MAR,1973149,154.62,158.23,158.45,154.16
10/12/21,MAR,1995785,157.45,156.6,158.23,155.97
10/11/21,MAR,1677850,156.82,157.41,159.77,156.57
10/8/21,MAR,1193933,157.09,157.99,158.74,156.43
10/7/21,MAR,1861994,157.75,157.03,159.66,156.06
10/6/21,MAR,1667256,155.31,153.51,155.46,151.82
10/5/21,MAR,1744908,155.44,155.25,156.52,153.35
10/4/21,MAR,1860717,155.14,155.86,158.76,154.33
10/1/21,MAR,4710118,155.97,150.75,157.28,150.27
9/30/21,MAR,2030902,148.09,152.13,152.13,147.64
9/29/21,MAR,1535560,151.91,154.3,154.39,150.68
9/28/21,MAR,2151853,153.59,153.13,155.3,152.23
9/27/21,MAR,1891006,154.32,152.63,155.78,152.53
9/24/21,MAR,1881598,152.51,149.23,152.75,149.06
9/23/21,MAR,2914129,149.91,144.69,150.18,144.4
9/22/21,MAR,1543099,144.4,142.76,145.79,142.35
9/21/21,MAR,1707350,142.01,143.7,144.54,141.22
9/20/21,MAR,2375420,142.82,142.52,143.12,139.76
9/17/21,MAR,2650198,143.9,145.02,145.63,143.66
9/16/21,MAR,1966801,144.8,144.4,146.01,143.83
9/15/21,MAR,3068248,144.68,141.54,145.09,140.05
9/14/21,MAR,2159366,142.34,139.97,142.69,139
9/13/21,MAR,1923643,139.98,136.96,140.58,135.94
9/10/21,MAR,1574455,135.64,136.71,137.72,134.49
