Date,Symbol,Volume,Close/Last,Open,High,Low
11/1/21,NFLX,3110911,681.17,689.06,689.97,676.54
10/29/21,NFLX,3825279,690.31,673.06,690.97,671.24
10/28/21,NFLX,2859409,674.05,670.95,676.8,668.03
10/27/21,NFLX,2276914,662.92,669,671.41,661.85
10/26/21,NFLX,2904840,668.52,673.76,676.49,662.77
10/25/21,NFLX,3833526,671.66,663.74,675.88,657.07
10/22/21,NFLX,6186016,664.78,651.81,665.46,651.81
10/21/21,NFLX,8437070,653.16,628.89,654.01,628.65
10/20/21,NFLX,10622000,625.14,625.57,637.4,617.15
10/19/21,NFLX,7633147,639,636.97,641,632.3
10/18/21,NFLX,4669071,637.97,632.1,638.41,620.59
10/15/21,NFLX,4116874,628.29,638,639.42,625.16
10/14/21,NFLX,2672535,633.8,632.23,636.88,626.79
10/13/21,NFLX,2424638,629.76,632.18,632.18,622.1
10/12/21,NFLX,3227349,624.94,633.02,637.66,621.99
10/11/21,NFLX,2862470,627.04,633.2,639.42,626.78
10/8/21,NFLX,3272093,632.66,634.17,643.8,630.86
10/7/21,NFLX,3556886,631.85,642.23,646.84,630.45
10/6/21,NFLX,4580434,639.1,628.18,639.87,626.36
10/5/21,NFLX,9534293,634.81,606.94,640.39,606.89
10/4/21,NFLX,4995932,603.35,613.39,626.13,594.68
10/1/21,NFLX,4090847,613.15,604.24,614.99,597.51
9/30/21,NFLX,6616040,610.34,608.05,619,608.05
9/29/21,NFLX,6221026,599.06,589.01,609.88,588.01
9/28/21,NFLX,4431051,583.85,589,599.54,580.16
9/27/21,NFLX,2504738,592.64,587.95,593.58,576.93
9/24/21,NFLX,2126246,592.39,592.5,592.98,583.64
9/23/21,NFLX,2526161,593.26,590.79,599.32,589.13
9/22/21,NFLX,4021845,590.65,579.69,595.65,579.69
9/21/21,NFLX,2250884,573.14,578.31,581.88,569.37
9/20/21,NFLX,3732227,575.43,586.79,591.53,568.08
9/17/21,NFLX,4145145,589.35,587.85,590.28,580.85
9/16/21,NFLX,1832028,586.5,584.3,587.48,577.72
9/15/21,NFLX,2755615,582.87,578.17,584.62,575.37
9/14/21,NFLX,3456958,577.76,584.89,587.28,575.56
9/13/21,NFLX,3062871,589.29,598.57,598.57,582.78
9/10/21,NFLX,3950764,598.72,598.16,609.45,593.67
9/9/21,NFLX,2954214,597.54,606.47,609.44,596.55
9/8/21,NFLX,5424503,606.05,603.84,615.6,595.71
9/7/21,NFLX,5830979,606.71,594.69,613.85,593.99
9/3/21,NFLX,2684005,590.53,585.8,591.88,583.14
9/2/21,NFLX,6184782,588.55,583.68,598.76,583.68
9/1/21,NFLX,5626214,582.07,569,591,569
8/31/21,NFLX,2431886,569.19,566.12,569.48,561.61
8/30/21,NFLX,2434839,566.18,557.25,567.16,556.45
8/27/21,NFLX,3252595,558.92,551.6,564.17,549.25
8/26/21,NFLX,1595499,550.12,546.16,552.6,545.9
8/25/21,NFLX,2065621,547.58,550.16,552.84,545.45
8/24/21,NFLX,2109525,553.41,551.48,555.31,549.27
8/23/21,NFLX,2602010,553.33,545.98,555.55,543.74
8/20/21,NFLX,3776429,546.88,545.09,551.39,539.1
8/19/21,NFLX,7497292,543.71,522.74,548.39,521.87
8/18/21,NFLX,2582046,521.87,520,526.38,518.65
8/17/21,NFLX,2309803,518.91,515.47,520.79,514.2
8/16/21,NFLX,2033176,517.92,515.24,523.38,512.3
8/13/21,NFLX,2177736,515.92,512.64,521.44,511.51
8/12/21,NFLX,1686170,510.72,511.86,513,507.2
8/11/21,NFLX,1673904,512.4,517,519.57,509.77
8/10/21,NFLX,1960544,515.84,520,520.79,512.97
8/9/21,NFLX,1367782,519.97,521.15,522.67,517.99
8/6/21,NFLX,1919798,520.55,524,526.84,519.39
8/5/21,NFLX,2556687,524.89,517.13,525.41,514.02
8/4/21,NFLX,2039374,517.35,513,517.98,510.37
8/3/21,NFLX,2579427,510.82,514.39,515.63,505.37
8/2/21,NFLX,2096632,515.15,519,519.85,510.51
7/30/21,NFLX,2537107,517.57,512.69,519.79,510.96
7/29/21,NFLX,1736014,514.25,519.96,520.78,513.79
7/28/21,NFLX,2390466,519.3,521.82,524.47,516.98
7/27/21,NFLX,2759037,518.91,518.08,521.95,512.05
7/26/21,NFLX,2254538,516.49,514.38,521.13,509.01
7/23/21,NFLX,3820478,515.41,512.16,517.41,504.66
7/22/21,NFLX,4328061,511.77,510.21,513.68,507
7/21/21,NFLX,11906790,513.63,526.13,530.99,505.61
7/20/21,NFLX,6930440,531.05,526.07,536.64,520.3
7/19/21,NFLX,3885764,532.28,526.05,534.91,522.24
7/16/21,NFLX,3442101,530.31,541.81,544.06,527.05
7/15/21,NFLX,5713873,542.95,553.97,557.54,538.2
7/14/21,NFLX,4659535,547.95,541.01,554.1,541.01
7/13/21,NFLX,2751593,540.68,535.76,545.33,535.76
7/12/21,NFLX,1780738,537.31,540.3,540.65,532.92
7/9/21,NFLX,2777231,535.98,531,538.26,528.58
7/8/21,NFLX,3268988,530.76,530.93,535.5,529.09
7/7/21,NFLX,2722498,535.96,544.24,544.64,531.66
7/6/21,NFLX,2775051,541.64,533,542.86,533
7/2/21,NFLX,1980316,533.98,535.5,538.54,529.39
7/1/21,NFLX,2805402,533.54,525.72,537.04,525.72
6/30/21,NFLX,2773445,528.21,534.06,534.38,526.82
6/29/21,NFLX,2314647,533.5,533.55,536.13,528.57
6/28/21,NFLX,2820227,533.03,528.12,533.94,524.56
6/25/21,NFLX,5299072,527.07,528.84,533.06,525
6/24/21,NFLX,3361202,518.06,517.96,520.96,514.4
6/23/21,NFLX,3944782,512.74,508.48,516.63,508.2
6/22/21,NFLX,5809271,508.82,498.54,513.55,495.8
6/21/21,NFLX,5277297,497,501.64,502.05,492.28
6/18/21,NFLX,5197576,500.77,496.4,504.49,495.24
6/17/21,NFLX,3198273,498.34,490.25,501.8,490.15
6/16/21,NFLX,3533206,492.41,495,496.46,486.28
6/15/21,NFLX,3104073,491.9,501.23,501.23,490.4
6/14/21,NFLX,4400222,499.89,489.68,503.5,486.91
6/11/21,NFLX,3123969,488.77,490,491.41,487.78
6/10/21,NFLX,4382928,487.27,487.17,490.21,482.14
6/9/21,NFLX,3055029,485.81,494.5,496.09,484.65
6/8/21,NFLX,2374037,492.39,497,498.82,489.37
6/7/21,NFLX,2791932,494.66,492.92,496.7,490.55
6/4/21,NFLX,3160487,494.74,492,501.86,490.95
6/3/21,NFLX,3887445,489.43,495.19,496.66,487.25
6/2/21,NFLX,2268979,499.24,499.82,503.22,495.82
6/1/21,NFLX,2482555,499.08,504.01,505.41,497.74
5/28/21,NFLX,2911297,502.81,504.4,511.76,502.53
5/27/21,NFLX,3253773,503.86,501.8,505.1,498.54
5/26/21,NFLX,2465303,502.36,502.34,504.14,500.5
5/25/21,NFLX,2699459,501.34,506,506.37,499.22
5/24/21,NFLX,2412595,502.9,501.05,504.25,499.51
5/21/21,NFLX,3322925,497.89,503.12,505.4,497.26
5/20/21,NFLX,3721218,501.67,489.55,502.7,488.98
5/19/21,NFLX,3349930,487.7,481.63,488.57,478.54
5/18/21,NFLX,2350496,486.28,488.4,493.48,486.19
5/17/21,NFLX,2701057,488.94,485.59,492.71,482.81
5/14/21,NFLX,2882464,493.37,487.86,494.85,486.59
5/13/21,NFLX,2716561,486.66,489.13,490.78,482.71
5/12/21,NFLX,4121540,484.98,486.83,493.54,482.7
5/11/21,NFLX,4401000,495.08,479.75,497.99,478.63
5/10/21,NFLX,5131632,486.69,502,503.15,486.11
5/7/21,NFLX,3132786,503.84,504.62,508.55,501.12
5/6/21,NFLX,3783698,499.55,495.99,499.55,491.37
5/5/21,NFLX,3129366,496.08,504.99,507.78,494.63
5/4/21,NFLX,4349502,503.18,510.78,511.63,496.79
5/3/21,NFLX,4091895,509.11,512.65,518.95,505.2
4/30/21,NFLX,4413242,513.47,505,514.55,505
4/29/21,NFLX,5127792,509,507.6,509.29,499
