Date,Symbol,Volume,Close/Last,Open,High,Low
11/1/21,PYPL,14054940,231.28,232.7,233.55,230.19
10/29/21,PYPL,13010820,232.59,235.43,238.9,231.71
10/28/21,PYPL,14288270,236.83,237,237.94,232.78
10/27/21,PYPL,19043910,234.94,243.85,244.69,233.92
10/26/21,PYPL,14404290,243,249.45,249.88,241.01
10/25/21,PYPL,23046730,246.88,254.96,255.52,245.82
10/22/21,PYPL,24170920,240.4,243.73,246.66,239.75
10/21/21,PYPL,42508930,243.21,258.61,258.96,242.98
10/20/21,PYPL,31271740,258.36,273,273.51,253.1
10/19/21,PYPL,3985909,271.7,271.01,273.27,269.84
10/18/21,PYPL,4367137,270.33,266.39,270.44,264.71
10/15/21,PYPL,5007867,268.35,268.7,269.72,265.44
10/14/21,PYPL,7855106,266.45,261.5,267.41,260.2
10/13/21,PYPL,6024050,256.36,258.73,261.24,254.25
10/12/21,PYPL,4289324,255.85,256,257.97,253.78
10/11/21,PYPL,5031650,255.05,257.93,260.66,254.69
10/8/21,PYPL,4095908,260.06,264.96,265.47,259.8
10/7/21,PYPL,5276445,263.54,265.95,268.69,263.07
10/6/21,PYPL,4615285,264.06,256.29,264.39,256.03
10/5/21,PYPL,6326587,260.15,255.22,262.77,253.59
10/4/21,PYPL,7267168,255.01,261.84,262.57,251.59
10/1/21,PYPL,4560448,264.65,261.46,265.82,260.11
9/30/21,PYPL,5329257,260.21,259.65,263.47,258.73
9/29/21,PYPL,6829064,259,263.51,264.46,256.89
9/28/21,PYPL,8352372,262.19,269.9,271.44,261.68
9/27/21,PYPL,4614852,273.39,274.78,276.78,272.19
9/24/21,PYPL,3985813,278.11,276.02,278.33,274.69
9/23/21,PYPL,5409581,279.1,274.45,279.95,273.78
9/22/21,PYPL,5574070,272.34,270.46,273.47,266.5
9/21/21,PYPL,4326076,269.49,271.75,272.3,267.8
9/20/21,PYPL,7728307,269.91,271.55,273,265.68
9/17/21,PYPL,8117226,276.34,282.18,282.5,275.92
9/16/21,PYPL,3606742,282.97,281.04,283.69,280.39
9/15/21,PYPL,4056783,282.43,284.21,285.75,279.5
9/14/21,PYPL,4216695,282.24,281.84,283.17,279.71
9/13/21,PYPL,4836471,280.49,286.72,287.19,277.8
9/10/21,PYPL,3816588,284.32,288.6,289,284.11
9/9/21,PYPL,4169970,286.88,287.45,289.37,285.08
9/8/21,PYPL,11039280,285.23,296.55,296.7,283.33
9/7/21,PYPL,6789751,293.26,290.41,293.68,288.04
