Date,Symbol,Volume,Close/Last,Open,High,Low
11/1/21,TSLA,56048720,1208.59,1145,1209.75,1118.66
10/29/21,TSLA,29918420,1114,1081.86,1115.21,1073.21
10/28/21,TSLA,27213170,1077.04,1068.31,1081,1054.2
10/27/21,TSLA,38526460,1037.86,1039.66,1070.88,1030.78
10/26/21,TSLA,62414970,1018.43,1024.69,1094.94,1001.44
10/25/21,TSLA,62852100,1024.86,950.53,1045.02,944.2
10/22/21,TSLA,22880840,909.68,895.5,910,890.96
10/21/21,TSLA,31481450,894,856,900,855.5
10/20/21,TSLA,14032050,865.8,865.35,869.49,857.38
10/19/21,TSLA,17381130,864.27,877.53,877.95,862.51
10/18/21,TSLA,24207240,870.11,851.79,875.26,851.47
10/15/21,TSLA,18924570,843.03,823.74,843.21,822.35
10/14/21,TSLA,12247170,818.32,815.49,820.25,813.35
10/13/21,TSLA,14120080,811.08,810.47,815.41,805.78
10/12/21,TSLA,22020040,805.72,800.93,812.32,796.57
10/11/21,TSLA,14200320,791.94,787.65,801.24,785.5
10/8/21,TSLA,16738600,785.49,796.21,796.38,780.91
10/7/21,TSLA,19195780,793.61,785.46,805,783.38
10/6/21,TSLA,14632770,782.75,776.2,786.66,773.22
10/5/21,TSLA,18432630,780.59,784.8,797.31,774.2
10/4/21,TSLA,30483340,781.53,796.5,806.97,776.12
10/1/21,TSLA,17031410,775.22,778.4,780.78,763.59
9/30/21,TSLA,17955960,775.48,781,789.13,775
9/29/21,TSLA,20942880,781.31,779.8,793.5,770.68
9/28/21,TSLA,25381420,777.56,787.2,795.64,766.18
9/27/21,TSLA,28070660,791.36,773.12,799,769.31
9/24/21,TSLA,21373020,774.39,745.89,774.8,744.56
9/23/21,TSLA,11947530,753.64,755,758.2,747.92
9/22/21,TSLA,15126270,751.94,743.53,753.67,739.12
9/21/21,TSLA,16330720,739.38,734.79,744.74,730.44
9/20/21,TSLA,24757650,730.17,734.56,742,718.62
9/17/21,TSLA,28204180,759.49,757.15,761.04,750
9/16/21,TSLA,13923390,756.99,752.83,758.91,747.61
9/15/21,TSLA,15357690,755.83,745,756.86,738.36
9/14/21,TSLA,18524880,744.49,742.57,754.47,736.4
9/13/21,TSLA,22952480,743,740.21,744.78,708.85
9/10/21,TSLA,15184170,736.27,759.6,762.61,734.52
9/9/21,TSLA,14077730,754.86,753.41,762.1,751.63
9/8/21,TSLA,18793040,753.87,761.58,764.45,740.77
9/7/21,TSLA,20039830,752.92,740,760.2,739.26
9/3/21,TSLA,15271050,733.57,732.25,734,724.2
9/2/21,TSLA,12796740,732.39,734.5,740.97,730.54
9/1/21,TSLA,13204340,734.09,734.08,741.99,731.27
8/31/21,TSLA,20855440,735.72,733,740.39,726.44
8/30/21,TSLA,18604220,730.91,714.72,731,712.73
8/27/21,TSLA,13833760,711.92,705,715,702.1
8/26/21,TSLA,13214290,701.16,708.31,715.4,697.62
8/25/21,TSLA,12645560,711.2,707.03,716.97,704
8/24/21,TSLA,13083070,708.49,710.68,715.22,702.64
8/23/21,TSLA,20264860,706.3,685.44,712.13,680.75
8/20/21,TSLA,14841870,680.26,682.85,692.13,673.7
8/19/21,TSLA,14313490,673.47,678.21,686.55,667.59
8/18/21,TSLA,20349380,688.99,669.75,695.77,669.35
8/17/21,TSLA,23721280,665.71,672.66,674.58,648.84
8/16/21,TSLA,23103300,686.17,705.07,709.5,676.4
8/13/21,TSLA,16731470,717.17,723.71,729.9,714.34
8/12/21,TSLA,17681690,722.25,706.34,722.8,699.4
8/11/21,TSLA,9800558,707.82,712.71,715.18,704.21
8/10/21,TSLA,13432310,709.99,713.99,716.59,701.88
8/9/21,TSLA,14715350,713.76,710.17,719.03,705.13
8/6/21,TSLA,15623050,699.1,711.9,716.33,697.63
8/5/21,TSLA,12919640,714.63,716,720.95,711.41
8/4/21,TSLA,17002650,710.92,711,724.9,708.93
8/3/21,TSLA,21620250,709.74,719,722.65,701.01
8/2/21,TSLA,33615770,709.67,700,726.94,698.4
7/30/21,TSLA,29656410,687.2,671.76,697.53,669
7/29/21,TSLA,30394640,677.35,649.79,683.69,648.8
7/28/21,TSLA,16006600,646.98,647,654.97,639.4
7/27/21,TSLA,32813290,644.78,663.4,666.5,627.24
7/26/21,TSLA,25336560,657.62,650.97,668.2,647.11
7/23/21,TSLA,14604940,643.38,646.36,648.8,637.3
7/22/21,TSLA,15105730,649.26,656.44,662.17,644.6
7/21/21,TSLA,13953340,655.29,659.61,664.86,650.29
7/20/21,TSLA,15487130,660.5,651.99,662.39,640.5
7/19/21,TSLA,21297090,646.22,629.89,647.2,621.29
7/16/21,TSLA,16370970,644.22,654.68,656.7,642.2
7/15/21,TSLA,20209570,650.6,658.39,666.14,637.88
7/14/21,TSLA,21641190,653.38,670.75,678.61,652.84
7/13/21,TSLA,20966090,668.54,686.32,693.28,666.3
7/12/21,TSLA,25927040,685.7,662.2,687.24,662.16
7/9/21,TSLA,18140550,656.95,653.19,658.91,644.69
7/8/21,TSLA,22773320,652.81,628.37,654.43,620.46
7/7/21,TSLA,18791960,644.65,664.27,665.7,638.32
7/6/21,TSLA,23284450,659.58,681.71,684,651.4
7/2/21,TSLA,27097370,678.9,678.98,700,673.26
7/1/21,TSLA,18634520,677.92,683.92,687.99,672.8
6/30/21,TSLA,18924860,679.7,679.77,692.81,678.14
6/29/21,TSLA,17381310,680.76,684.65,687.51,675.89
6/28/21,TSLA,21628160,688.72,671.64,694.7,670.32
6/25/21,TSLA,32496710,671.87,689.58,693.81,668.7
6/24/21,TSLA,45982390,679.82,674.99,697.62,667.61
6/23/21,TSLA,31099230,656.57,632,657.2,630.04
6/22/21,TSLA,19158890,623.71,618.25,628.57,615.5
6/21/21,TSLA,24812740,620.83,624.48,631.39,608.88
6/18/21,TSLA,24560910,623.31,613.37,628.35,611.8
6/17/21,TSLA,22701350,616.6,601.89,621.47,601.34
6/16/21,TSLA,22144130,604.87,597.54,608.5,593.5
6/15/21,TSLA,17764150,599.36,616.69,616.79,598.23
6/14/21,TSLA,20423980,617.69,612.23,625.49,609.18
6/11/21,TSLA,16205300,609.89,610.23,612.56,601.52
6/10/21,TSLA,23919610,610.12,603.88,616.59,600.5
6/9/21,TSLA,16584570,598.78,602.17,611.79,597.63
6/8/21,TSLA,26053410,603.59,623.01,623.09,595.5
