Company,Rating,Comments
IP,5,Good hours and a good pay.Some days can be tough.
IP,1,"Terrible Management. Pay and benefits were decent but working in PS&D negates any of that.Shift work never allows you to have a sleep cycle. The workers including myself, always complained of never getting proper sleep. That may be why everyone was in such a crappy mood.Management was supposed to be in charge of training but I was not properly trained for over a month and when they changed trainers, that trainer was worse than the prior one. During the review sessions the trainer would tell managers that I didn’t know the job yet I would work days without supervision. So that was a lie. There’s a lot of politics going on at this company and they are not trying to hide it. During the orientation HR made it clear IP was Progressive in their politics. The individual trashed Trump and bragged about wearing a F the police. How is that acceptable in such a large and public company.
I assume I was let go because I supposedly was not learning fast enough but I don’t know because they let me go over a phone call, telling me I was terminated, good luck! International Paper lied to me from the interview process. They told me I would be working on the Industrial side of the plant and they decided to place me in shipping and receiving. I should have known from the start the management were not honest people."
IP,5,"Strong Career. Career Planning, opportunities, and resources to help you succeed.Demanding job time-wise, being 24/7 it can get hectic.Continue to stay in tune with needs of employees. Currently working on shift schedules and working on life-balance for managers."
IP,4,"Job security -Nice people -Great pay. -political culture. -political culture
-they’re so nice it’s like the Canada of companies so you have to talk in corporate jargon and not talk about controversial things"
IP,4,"Great experience, challenging opportunities, competitive salary. Work Life Balance does not exist"
IP,5,"Great Company , Great Benefits. Lots of travel in the USA"
IP,4,International Paper genuinely cares about its employees and views them as its greatest asset.International Paper is risk averse and slow to change.
IP,4,Diversity of projects; good team collaboration. Potentially long travel hours or days
IP,2,"good pay, hands on environment, opportunities for leadership. gross, people hate you, boring"
IP,4,"Good pay, treated well. excellent benefits. Labor intensive work, long hours. Flexible hours or flex schedules
"
