Time,Symbol,Open,High,Low,Last,Change,%Chg,Volume
11/8/21,AFL,56.99,57.28,56.6,56.75,0,0.00%,1947985
11/1/21,AFL,53.96,57.285,53.75,56.75,3.08,5.74%,3068180
10/25/21,AFL,56.69,57.66,53.475,53.67,-2.87,-5.08%,3623280
10/18/21,AFL,55.54,56.76,54.88,56.54,0.99,1.78%,2147920
10/11/21,AFL,54.71,55.985,53.19,55.55,1.03,1.89%,3590360
10/4/21,AFL,52.95,54.895,52.405,54.52,1.58,2.98%,2464280
9/27/21,AFL,53.14,53.91,52.0401,52.94,0.31,0.59%,2672380
9/20/21,AFL,52.9,53.05,51.28,52.63,-1.36,-2.52%,3464100
9/13/21,AFL,55.21,55.52,53.95,53.99,-0.67,-1.23%,3472640
9/6/21,AFL,55.7,55.93,54.65,54.66,-1.05,-1.88%,2395100
8/30/21,AFL,57.07,57.09,55.535,55.71,-1.38,-2.42%,2379220
8/23/21,AFL,56.7,57.55,56.1,57.09,0.73,1.30%,2087720
8/16/21,AFL,57,57.64,55.5,56.36,-0.9,-1.57%,2330660
8/9/21,AFL,56.14,57.63,55.6,57.26,1.02,1.81%,2409960
8/2/21,AFL,55.31,56.41,54.28,56.24,1.24,2.25%,2933920
7/26/21,AFL,53.32,56.2007,52.93,55,1.63,3.05%,3014140
7/19/21,AFL,52.14,54.43,51.36,53.37,0.25,0.47%,3190100
7/12/21,AFL,53.3,53.95,52.745,53.12,-0.23,-0.43%,4342720
7/5/21,AFL,54,54.01,52.05,53.35,-0.8,-1.48%,3799225
6/28/21,AFL,54.07,54.2972,53.13,54.15,-0.07,-0.13%,3182940
6/21/21,AFL,52.44,54.43,52.23,54.22,2.14,4.11%,4740580
6/14/21,AFL,56.04,56.25,52.015,52.08,-4.17,-7.41%,3874600
6/7/21,AFL,57.45,57.57,56.065,56.25,-1.23,-2.14%,2536740
5/31/21,AFL,57.15,57.54,56.68,57.48,0.8,1.41%,2320700
5/24/21,AFL,56.21,57.14,55.6,56.68,0.69,1.23%,3864120
5/17/21,AFL,56.26,56.6,54.93,55.99,-0.47,-0.83%,2881640
5/10/21,AFL,56.37,57.35,54.11,56.46,0.35,0.62%,3001360
5/3/21,AFL,54.29,56.2,53.84,56.11,2.38,4.43%,3218020
4/26/21,AFL,53.5,54.87,53.18,53.73,0.36,0.67%,3116760
4/19/21,AFL,53.49,53.71,52.23,53.37,-0.08,-0.15%,3111640
4/12/21,AFL,52.01,53.59,51.75,53.45,1.81,3.51%,2597880
4/5/21,AFL,51.79,52.05,51.15,51.64,0.22,0.43%,2584200
3/29/21,AFL,50.84,52.085,50.8,51.42,-0.14,-0.27%,2726650
3/22/21,AFL,50.8,51.61,49.34,51.56,0.4,0.78%,3282300
3/15/21,AFL,51.84,52.78,50.7,51.16,-0.68,-1.31%,4912660
3/8/21,AFL,50.16,51.93,49.8422,51.84,1.89,3.78%,3985960
3/1/21,AFL,48.67,50.095,47.7,49.95,2.06,4.30%,3870680
2/22/21,AFL,47.96,50.15,47.79,47.89,-0.19,-0.40%,4937660
2/15/21,AFL,46.55,48.52,46.13,48.08,1.16,2.47%,4085800
2/8/21,AFL,45.71,47.36,45.56,46.92,1.47,3.23%,3501480
2/1/21,AFL,45.39,46.68,44.855,45.45,0.27,0.60%,3830840
1/25/21,AFL,45.95,46.985,44.76,45.18,-1.25,-2.69%,4592120
1/18/21,AFL,46.8,47.33,45.77,46.43,-0.05,-0.11%,2933400
1/11/21,AFL,44.22,47,44,46.48,1.99,4.47%,3890780
1/4/21,AFL,44.6,45.255,42.96,44.49,0.02,0.04%,3329720
12/28/20,AFL,44.08,44.75,43.695,44.47,0.63,1.44%,2195700
12/21/20,AFL,43.77,43.93,42.73,43.84,-0.05,-0.11%,3758675
12/14/20,AFL,45.49,45.57,43.52,43.89,-0.95,-2.12%,4554840
12/7/20,AFL,46,46,44.52,44.84,-1.45,-3.13%,3409440
11/30/20,AFL,44.79,46.35,43.91,46.29,1.01,2.23%,4279980
11/23/20,AFL,44.38,46.43,44.18,45.28,1.43,3.26%,3996800
11/16/20,AFL,42.75,43.98,42.23,43.85,2.33,5.61%,4713780
11/9/20,AFL,40.38,42.3,39.17,41.52,4.62,12.52%,4749220
11/2/20,AFL,34.59,37.64,34.22,36.9,2.95,8.69%,4814700
10/26/20,AFL,37.39,37.42,33.365,33.95,-3.9,-10.30%,4720680
10/19/20,AFL,37.3,38.0335,36.31,37.85,0.64,1.72%,2800220
10/12/20,AFL,38.14,38.72,36.4,37.21,-0.89,-2.34%,2490520
10/5/20,AFL,37.33,38.6,37.14,38.1,1.22,3.31%,3140400
9/28/20,AFL,36.36,37.15,35.6,36.88,1.15,3.22%,3157840
9/21/20,AFL,37.08,37.4,34.915,35.73,-2.07,-5.48%,3528520
9/14/20,AFL,36.99,38.4,36.51,37.8,1.41,3.87%,6384600
9/7/20,AFL,37.89,38,36.02,36.39,-1.47,-3.88%,3749650
8/31/20,AFL,37.2,38.29,35.9,37.86,0.73,1.97%,4158960
8/24/20,AFL,36.59,37.895,36.37,37.13,0.71,1.95%,2843780
8/17/20,AFL,37.93,38.19,36.34,36.42,-1.65,-4.33%,2505600
8/10/20,AFL,36.68,38.94,36.67,38.07,1.55,4.24%,3213360
8/3/20,AFL,35.58,36.57,35.015,36.52,0.95,2.67%,3201900
7/27/20,AFL,36.58,36.68,34.96,35.57,-1.2,-3.26%,4011920
7/20/20,AFL,35.95,37.34,35.54,36.77,0.55,1.52%,2417360
7/13/20,AFL,35.09,36.91,34.59,36.22,1.35,3.87%,3161540
7/6/20,AFL,36.23,36.63,33.8195,34.87,-0.39,-1.11%,3299020
6/29/20,AFL,35.18,36.72,34.68,35.26,0.58,1.67%,3184450
6/22/20,AFL,36.38,37.29,34.3,34.68,-1.92,-5.25%,3681940
6/15/20,AFL,35.43,38.79,35.11,36.6,-0.04,-0.11%,4130960
6/8/20,AFL,41.28,42.185,35.64,36.64,-3.89,-9.60%,3946500
6/1/20,AFL,36.46,41.81,36.25,40.53,4.06,11.13%,4023080
5/25/20,AFL,36.25,37.97,35.58,36.47,1.77,5.10%,7457775
5/18/20,AFL,34.74,35.125,33.31,34.7,1.71,5.18%,3812340
5/11/20,AFL,35.68,35.94,30.32,32.99,-3.27,-9.02%,5259900
5/4/20,AFL,36.05,36.87,34.28,36.26,-0.36,-0.98%,3314380
4/27/20,AFL,36.34,39.48,35.97,36.62,0.33,0.91%,3551180
4/20/20,AFL,35.51,36.56,34.43,36.29,-0.19,-0.52%,3162980
4/13/20,AFL,38.15,38.45,34.76,36.48,-1.6,-4.20%,3320340
4/6/20,AFL,34.53,39.82,34.08,38.08,5.67,17.49%,5315900
3/30/20,AFL,35.63,36.75,31.05,32.41,-2.99,-8.45%,5290420
3/23/20,AFL,26.43,41.22,25.13,35.4,8.67,32.44%,8841120
3/16/20,AFL,30.1,32.5201,23.07,26.73,-7.96,-22.95%,6943260
3/9/20,AFL,38,40.145,31.16,34.69,-6.09,-14.93%,6607320
3/2/20,AFL,43.12,45.65,39.27,40.78,-2.07,-4.83%,6740560
2/24/20,AFL,50.54,50.7,41.915,42.85,-8.68,-16.84%,5712660
2/17/20,AFL,52.4,52.5,51.12,51.53,-1.28,-2.42%,2498475
2/10/20,AFL,52.83,53.35,52.12,52.81,-0.12,-0.23%,2262320
2/3/20,AFL,51.85,53.38,51.85,52.93,1.36,2.64%,3709300
1/27/20,AFL,51.72,53.119,51.5215,51.57,-0.82,-1.57%,2725580
1/20/20,AFL,53.2,53.39,51.92,52.39,-1.03,-1.93%,2822900
1/13/20,AFL,52.15,53.46,52.11,53.42,1.35,2.59%,3493720
1/6/20,AFL,52.65,53.03,52.05,52.07,-0.91,-1.72%,3205380
12/30/19,AFL,52.71,53.37,52.66,52.98,0.36,0.68%,2290075
12/23/19,AFL,53.2,53.23,52.44,52.62,-0.52,-0.98%,1755950
12/16/19,AFL,53.22,53.645,52.43,53.14,-0.03,-0.06%,3864360
12/9/19,AFL,52.77,54.04,52.61,53.17,0.18,0.34%,2982940
12/2/19,AFL,54.72,54.83,51.29,52.99,-1.85,-3.37%,3799520
11/25/19,AFL,54.12,55.07,54.04,54.84,0.85,1.57%,2384375
11/18/19,AFL,54.26,54.55,53.74,53.99,-0.41,-0.75%,2324720
11/11/19,AFL,53.71,54.48,53.48,54.4,0.26,0.48%,2006220
11/4/19,AFL,53.87,54.28,52.59,54.14,0.53,0.99%,2581360
10/28/19,AFL,53.57,53.885,52.835,53.61,0.35,0.66%,2403460
10/21/19,AFL,53,53.64,52.25,53.26,0.55,1.04%,2604540
10/14/19,AFL,52.25,53.1,52.2,52.71,0.27,0.51%,2897440
10/7/19,AFL,52.09,52.9,51.02,52.44,0.34,0.65%,2954880
9/30/19,AFL,52.78,52.78,50.43,52.1,0.21,0.40%,3599220
9/23/19,AFL,51.74,52.91,51.58,51.89,-0.08,-0.15%,3633120
9/16/19,AFL,51.53,53.07,51.41,51.97,0.2,0.39%,3305740
9/9/19,AFL,51.52,52.17,50.54,51.77,0.2,0.39%,3437220
9/2/19,AFL,49.75,51.84,49.6,51.57,1.39,2.77%,3250450
8/26/19,AFL,48.68,50.32,48.5,50.18,1.82,3.76%,3494160
8/19/19,AFL,53.23,53.36,48.14,48.36,-4.29,-8.15%,4671960
8/12/19,AFL,52.6,53.19,51.25,52.65,-0.23,-0.43%,2715980
8/5/19,AFL,51.94,53.07,50.94,52.88,0.35,0.67%,3322460
7/29/19,AFL,53.74,53.84,51.79,52.53,-1.36,-2.52%,3933100
7/22/19,AFL,55.05,55.37,52.855,53.89,-1.11,-2.02%,3815560
7/15/19,AFL,57.15,57.18,54.96,55,-1.89,-3.32%,3064920
7/8/19,AFL,56.68,57.08,56.07,56.89,0.08,0.14%,2326900
7/1/19,AFL,55.49,56.96,55.16,56.81,2,3.65%,2302150
6/24/19,AFL,54.96,55.36,54.165,54.81,-0.14,-0.25%,3136140
6/17/19,AFL,55.13,55.67,54.495,54.95,-0.09,-0.16%,3003800
6/10/19,AFL,54.89,55.11,53.92,55.04,0.49,0.90%,2802700
6/3/19,AFL,51.26,54.73,51.14,54.55,3.25,6.34%,3237740
5/27/19,AFL,51.91,52.29,51.04,51.3,-0.71,-1.37%,2773150
5/20/19,AFL,52.14,52.45,51.21,52.01,-0.17,-0.33%,2584340
5/13/19,AFL,50.58,52.44,50.155,52.18,0.91,1.77%,3222580
5/6/19,AFL,49.91,51.36,49.72,51.27,0.78,1.54%,2946340
4/29/19,AFL,49.7,50.715,49.66,50.49,0.96,1.94%,3009500
4/22/19,AFL,48.68,50.02,48.45,49.53,0.61,1.25%,2791740
4/15/19,AFL,49.56,49.76,48.75,48.92,-0.59,-1.19%,3752700
4/8/19,AFL,49.12,49.8,48.8,49.51,0.51,1.04%,3127440
4/1/19,AFL,50.31,50.46,48.285,49,-1,-2.00%,3772100
3/25/19,AFL,49.5,50.138,49.27,50,0.54,1.09%,2565980
3/18/19,AFL,50.11,50.66,49.14,49.46,-0.49,-0.98%,3005920
3/11/19,AFL,48.79,50.15,48.64,49.95,1.4,2.88%,3274020
3/4/19,AFL,49.21,49.71,48.18,48.55,-0.62,-1.26%,2558700
2/25/19,AFL,48.96,49.58,48.54,49.17,0.42,0.86%,3142840
2/18/19,AFL,48.93,49.235,48.62,48.75,-0.53,-1.08%,3173075
2/11/19,AFL,48.31,49.38,47.83,49.28,1.1,2.28%,2754540
2/4/19,AFL,48.16,48.56,47.58,48.18,0.24,0.50%,3326420
1/28/19,AFL,47.4,48.59,46.96,47.94,0.37,0.78%,4754380
1/21/19,AFL,47.59,48.05,47.14,47.57,-0.13,-0.27%,3625800
1/14/19,AFL,45.44,47.83,45.42,47.7,2.01,4.40%,3999400
1/7/19,AFL,44.89,45.88,44.69,45.69,0.77,1.71%,3409700
12/31/18,AFL,45.13,45.58,44.28,44.92,-0.03,-0.07%,3931300
12/24/18,AFL,42.93,45.47,41.88,44.95,1.72,3.98%,3366350
12/17/18,AFL,44.45,45.12,43.07,43.23,-1.38,-3.09%,5613700
12/10/18,AFL,43.23,45.8,42.26,44.61,1.36,3.14%,4399620
12/3/18,AFL,46.13,46.38,42.66,43.25,-2.49,-5.44%,4755425
11/26/18,AFL,44.9,45.92,44.175,45.74,1.27,2.86%,3273500
11/19/18,AFL,44.67,45.42,44.04,44.47,-0.1,-0.22%,3326225
11/12/18,AFL,45.05,45.25,43.36,44.57,-0.47,-1.04%,3809560
11/5/18,AFL,42.94,45.48,42.91,45.04,2.14,4.99%,2700560
10/29/18,AFL,42.1,43.755,41.84,42.9,1.2,2.88%,3776800
10/22/18,AFL,44.56,44.86,41.45,41.7,-2.77,-6.23%,4352640
10/15/18,AFL,44.02,45.08,43.67,44.47,0.42,0.95%,3084600
10/8/18,AFL,46.4,47.64,43.51,44.05,-2.45,-5.27%,4287640
10/1/18,AFL,47.24,47.37,46.4,46.5,-0.57,-1.21%,2667860
9/24/18,AFL,48.1,48.19,46.63,47.07,-0.97,-2.02%,2446960
9/17/18,AFL,47.27,48.09,46.87,48.04,0.83,1.76%,3141200
9/10/18,AFL,46.93,47.275,46.2,47.21,0.39,0.83%,2431880
9/3/18,AFL,46.09,47.15,45.8,46.82,0.58,1.25%,2470900
8/27/18,AFL,46.9,47.145,46.21,46.24,-0.43,-0.92%,2594020
8/20/18,AFL,46.74,47.07,46.255,46.67,-0.09,-0.19%,2158180
8/13/18,AFL,46.42,46.85,46.02,46.76,0.28,0.60%,3107140
8/6/18,AFL,46.62,47.08,46.22,46.48,-0.11,-0.24%,2124940
7/30/18,AFL,46.35,46.96,46.13,46.59,0.28,0.60%,3685340
7/23/18,AFL,43.02,46.49,42.97,46.31,3.25,7.55%,3246440
7/16/18,AFL,42.61,43.44,42.45,43.06,0.46,1.08%,2907520
7/9/18,AFL,42.97,43.45,42.13,42.6,-0.31,-0.72%,2917360
7/2/18,AFL,42.85,43.35,42.465,42.91,-0.11,-0.26%,2367175
6/25/18,AFL,44.01,44.38,43.005,43.02,-1.17,-2.65%,3009740
6/18/18,AFL,45.4,45.52,44.15,44.19,-1.56,-3.41%,3117000
6/11/18,AFL,45.98,46,45.01,45.75,-0.14,-0.31%,3183660
6/4/18,AFL,45.62,45.91,45.16,45.89,0.49,1.08%,2594920
5/28/18,AFL,45.03,45.85,44.26,45.4,0.06,0.13%,4045150
5/21/18,AFL,45.61,45.81,44.95,45.34,-0.05,-0.11%,2793680
5/14/18,AFL,45.25,45.69,44.935,45.39,0.16,0.35%,2653100
5/7/18,AFL,44.81,45.51,44.31,45.23,0.42,0.94%,2784640
4/30/18,AFL,46.01,46.19,44.06,44.81,-1.08,-2.35%,4095920
4/23/18,AFL,45.36,46.19,44.72,45.89,0.61,1.35%,2790600
4/16/18,AFL,44.89,45.515,44.69,45.28,0.72,1.62%,3578340
4/9/18,AFL,43.65,45.07,43.38,44.56,1.19,2.74%,2489860
4/2/18,AFL,43.85,44.49,42.42,43.37,-0.39,-0.89%,4550340
3/26/18,AFL,43.92,44.23,43.16,43.76,0.41,0.95%,4794600
3/19/18,AFL,45.43,45.74,43.23,43.35,-1.895,-4.19%,4880920
3/12/18,AFL,45.76,45.88,44.93,45.245,-0.595,-1.30%,4830359
3/5/18,AFL,43.555,45.85,43.485,45.84,2.085,4.77%,4057960
2/26/18,AFL,44.93,45.63,43.155,43.755,-1.03,-2.30%,4423519
2/19/18,AFL,44.38,45.345,44.165,44.785,-0.04,-0.09%,4116950
2/12/18,AFL,42.555,45.02,42.125,44.825,2.44,5.76%,3903240
2/5/18,AFL,44.33,44.555,41.41,42.385,-2.09,-4.70%,5563000
1/29/18,AFL,45.39,45.505,43.89,44.475,-1.02,-2.24%,5186599
1/22/18,AFL,44,45.52,43.635,45.495,2.085,4.80%,4707880
1/15/18,AFL,42.495,44.175,42.46,43.41,0.94,2.21%,6818150
1/8/18,AFL,44.935,45.865,41.85,42.47,-2.395,-5.34%,7990160
1/1/18,AFL,44.18,44.92,43.79,44.865,0.975,2.22%,3465900
12/25/17,AFL,43.66,44.265,43.61,43.89,0.285,0.65%,2037450
12/18/17,AFL,44.865,44.905,43.4,43.605,-1.025,-2.30%,4127920
12/11/17,AFL,44.14,44.835,43.945,44.63,0.55,1.25%,3321080
12/4/17,AFL,44.225,44.37,43.575,44.08,0.28,0.64%,3040640
11/27/17,AFL,42.545,44.05,42.495,43.8,1.3,3.06%,4134999
11/20/17,AFL,42.05,42.83,42.035,42.5,0.575,1.37%,2258750
11/13/17,AFL,41.635,42.48,41.55,41.925,0.205,0.49%,2869119
11/6/17,AFL,41.935,42.51,41.5,41.72,-0.27,-0.64%,2511000
