Time,Symbol,Open,High,Low,Last,Change,%Chg,Volume
11/8/21,ARCB,111.46,114.1513,110.25,112.04,2.03,1.85%,678850
11/1/21,ARCB,93.99,116.79,90.85,110.01,20.16,22.44%,794540
10/25/21,ARCB,89.06,94.03,86.93,89.85,1.44,1.63%,438241
10/18/21,ARCB,85.28,90.67,83.62,88.41,2.95,3.45%,347300
10/11/21,ARCB,88.21,89.48,81.82,85.46,-2.13,-2.43%,322380
10/4/21,ARCB,85,91.33,83.1501,87.59,2.65,3.12%,391960
9/27/21,ARCB,76.89,85.58,74.5,84.94,8.48,11.09%,436380
9/20/21,ARCB,71.12,78.06,69.13,76.46,2.59,3.51%,321600
9/13/21,ARCB,68.49,75.39,67,73.87,6.25,9.24%,394260
9/6/21,ARCB,69.77,70.83,65.296,67.62,-1.99,-2.86%,206700
8/30/21,ARCB,68.4,70.91,65.54,69.61,1.84,2.72%,221620
8/23/21,ARCB,65,68.51,64.9,67.77,3.29,5.10%,158980
8/16/21,ARCB,68.5,69.25,61.63,64.48,-4.55,-6.59%,254080
8/9/21,ARCB,67.01,70.07,66,69.03,1.34,1.98%,260960
8/2/21,ARCB,59,67.76,58.81,67.69,8.58,14.52%,460680
7/26/21,ARCB,57.81,59.92,55.85,59.11,1.42,2.46%,269700
7/19/21,ARCB,54.46,58.52,52.86,57.69,0.54,0.94%,376980
7/12/21,ARCB,60.34,62.99,56.94,57.15,-3.29,-5.44%,332100
7/5/21,ARCB,58.88,60.871,56.16,60.44,1.92,3.28%,399150
6/28/21,ARCB,58.16,60.37,56.6,58.52,0.38,0.65%,292560
6/21/21,ARCB,54.86,59.15,54.7,58.14,3.99,7.37%,362440
6/14/21,ARCB,60.1,61,53.65,54.15,-5.95,-9.90%,393240
6/7/21,ARCB,68.02,68.585,58.38,60.1,-9.73,-13.93%,825140
5/31/21,ARCB,78.83,82.34,65.4211,69.83,-8.01,-10.29%,571525
5/24/21,ARCB,77.88,80.34,75.2,77.84,-0.41,-0.52%,244620
5/17/21,ARCB,84.07,84.25,76.33,78.25,-5.86,-6.97%,295280
5/10/21,ARCB,91.69,93.96,79.94,84.11,-6.34,-7.01%,306800
5/3/21,ARCB,73.33,91.53,73,90.45,17.69,24.31%,318420
4/26/21,ARCB,73.54,74.3,70.56,72.76,0.23,0.32%,150480
4/19/21,ARCB,73.81,74.41,68.67,72.53,-1.62,-2.18%,187040
4/12/21,ARCB,73.26,76.209,72.25,74.15,0.89,1.21%,101600
4/5/21,ARCB,73.55,74.9599,70.5,73.26,1.27,1.76%,187100
3/29/21,ARCB,70.02,72.77,67.27,71.99,1.27,1.80%,213675
3/22/21,ARCB,70.52,71.13,64.52,70.72,0.91,1.30%,199880
3/15/21,ARCB,73.7,73.7,68.42,69.81,-4.09,-5.53%,298340
3/8/21,ARCB,67.38,74.99,66.45,73.9,7.51,11.31%,425060
3/1/21,ARCB,60.1,69,60,66.39,7.4,12.54%,359720
2/22/21,ARCB,55.37,61.135,55.07,58.99,3.33,5.98%,235500
2/15/21,ARCB,57.08,57.42,53.12,55.66,-1.3,-2.28%,260775
2/8/21,ARCB,50.34,57.35,50.27,56.96,7.05,14.13%,332620
2/1/21,ARCB,46.96,50.6499,45.94,49.91,3.56,7.68%,198460
1/25/21,ARCB,48.93,50.36,46.24,46.35,-2.09,-4.31%,170440
1/18/21,ARCB,48,50.39,47.35,48.44,1.04,2.19%,140000
