Time,Symbol,Open,High,Low,Last,Change,%Chg,Volume
11/8/21,BAH,87.01,87.81,86.63,87.73,0.93,1.07%,464749
11/1/21,BAH,86.69,88.55,85.88,86.8,-0.06,-0.07%,861940
10/25/21,BAH,82.87,87.01,79.1,86.86,3.91,4.71%,946340
10/18/21,BAH,80.85,84.15,79.83,82.95,1.98,2.45%,741820
10/11/21,BAH,80.63,81.14,79.42,80.97,0.15,0.19%,766700
10/4/21,BAH,80.8,82,78.45,80.82,0.01,0.01%,1287180
9/27/21,BAH,79.45,81.03,78.42,80.81,1.67,2.11%,708780
9/20/21,BAH,79.13,80.398,77.79,79.14,-0.79,-0.99%,760880
9/13/21,BAH,81.71,82.99,79.43,79.93,-1.56,-1.91%,962740
9/6/21,BAH,83.2,83.21,81.46,81.49,-1.63,-1.96%,775625
8/30/21,BAH,81.74,83.91,81.32,83.12,1.44,1.76%,582320
8/23/21,BAH,82.27,82.35,80.36,81.68,-0.57,-0.69%,690080
8/16/21,BAH,80.67,82.26,79.55,82.25,1.67,2.07%,867780
8/9/21,BAH,81.63,81.9,80.43,80.58,-1.2,-1.47%,626280
8/2/21,BAH,86.01,87.205,81.65,81.78,-4.03,-4.70%,984760
7/26/21,BAH,89.45,90.65,85.0868,85.81,-3.88,-4.33%,709180
7/19/21,BAH,89.32,89.75,87.18,89.69,0.24,0.27%,581040
7/12/21,BAH,88.75,89.88,88.33,89.45,0.65,0.73%,628220
7/5/21,BAH,86.75,89.2,85.6,88.8,2.05,2.36%,584375
6/28/21,BAH,87.45,87.45,84.76,86.75,-0.73,-0.83%,546560
6/21/21,BAH,86.85,88.92,85.81,87.48,0.92,1.06%,712420
6/14/21,BAH,87.97,88.35,86.49,86.56,-1.57,-1.78%,826020
6/7/21,BAH,85.61,88.66,85.4603,88.13,2.52,2.94%,736280
5/31/21,BAH,85.13,86.52,84.21,85.61,0.68,0.80%,677550
5/24/21,BAH,84.15,86.23,83.84,84.93,1.31,1.57%,1091620
5/17/21,BAH,82.75,83.83,80.72,83.62,0.47,0.57%,941460
5/10/21,BAH,84.04,84.68,80.56,83.15,-0.96,-1.14%,768000
5/3/21,BAH,83.29,85.73,82.49,84.11,1.16,1.40%,951000
4/26/21,BAH,83.73,83.81,81.71,82.95,-0.41,-0.49%,508980
4/19/21,BAH,84.61,85.43,82.62,83.36,-1.31,-1.55%,703120
4/12/21,BAH,82.21,85.15,82.12,84.67,2.41,2.93%,967300
4/5/21,BAH,81.98,84.35,81.55,82.26,0.55,0.67%,949840
3/29/21,BAH,79.77,82.0902,79.67,81.71,1.95,2.44%,661150
3/22/21,BAH,79.14,81.28,77.94,79.76,0.01,0.01%,924320
3/15/21,BAH,78.71,81.11,78.61,79.75,1.2,1.53%,989700
3/8/21,BAH,76.75,79.5699,76.05,78.55,1.8,2.35%,1049980
3/1/21,BAH,77.27,79.94,75.66,76.75,-0.39,-0.51%,1582220
2/22/21,BAH,78.39,79.82,75.15,77.14,-1.57,-1.99%,2043900
2/15/21,BAH,82.9,83,78.25,78.71,-3.88,-4.70%,1511600
2/8/21,BAH,82.15,84.84,81.06,82.59,0.5,0.61%,902880
2/1/21,BAH,85.41,85.87,80.65,82.09,-3.08,-3.62%,1807800
1/25/21,BAH,96.55,100.26,84.8901,85.17,-10.76,-11.22%,1529620
