Time,Symbol,Open,High,Low,Last,Change,%Chg,Volume
11/8/21,JLL,269.84,273.19,267.15,269.05,1.43,0.53%,202828
11/1/21,JLL,260.58,272.36,253.46,267.62,9.39,3.64%,327920
10/25/21,JLL,264.35,270.39,256.67,258.23,-4.96,-1.88%,276280
10/18/21,JLL,253.64,264.265,251.17,263.19,9.55,3.77%,230420
10/11/21,JLL,251.57,258.91,250.795,253.64,2.06,0.82%,211305
10/4/21,JLL,258.22,260.76,244.5,251.58,-6.44,-2.50%,292080
9/27/21,JLL,249.99,258.378,245.2,258.02,8.53,3.42%,260900
9/20/21,JLL,234.77,250.18,230.66,249.49,10.36,4.33%,266960
9/13/21,JLL,237.51,244.44,235.68,239.13,3.69,1.57%,317800
9/6/21,JLL,243.51,245.56,234.595,235.44,-8.58,-3.52%,216050
8/30/21,JLL,244.28,247.71,239.72,244.02,-0.9,-0.37%,267880
8/23/21,JLL,237.55,245.41,237.21,244.92,8.26,3.49%,247080
8/16/21,JLL,248.79,249.87,231.67,236.66,-12.93,-5.18%,331280
8/9/21,JLL,250.5,253.93,246.27,249.59,-2.15,-0.85%,363380
8/2/21,JLL,224.28,253.9,214.82,251.74,29.17,13.11%,566120
7/26/21,JLL,203.49,227.65,203.49,222.57,18.24,8.93%,453000
7/19/21,JLL,186.55,204.62,184.2101,204.33,12.55,6.54%,327020
7/12/21,JLL,192.47,196.19,190.52,191.78,-2.36,-1.22%,317660
7/5/21,JLL,194.85,195.79,186.33,194.14,-0.39,-0.20%,400600
6/28/21,JLL,204,204.48,193.76,194.53,-9.74,-4.77%,422740
6/21/21,JLL,201.12,206.84,199.54,204.27,5.29,2.66%,619180
6/14/21,JLL,211.55,212.23,195.77,198.98,-12.65,-5.98%,456500
6/7/21,JLL,202.77,212.95,201.51,211.63,9.1,4.49%,301500
5/31/21,JLL,204.07,207.32,201.385,202.53,0.28,0.14%,274900
5/24/21,JLL,207.82,210.68,199.35,202.25,-4.64,-2.24%,360240
5/17/21,JLL,200.05,211.59,197.38,206.89,6.43,3.21%,292220
5/10/21,JLL,199.5,202.61,195.955,200.46,1.43,0.72%,476400
5/3/21,JLL,189.8,199.07,185.41,199.03,11.12,5.92%,332480
4/26/21,JLL,179.62,188.76,176.975,187.91,9.69,5.44%,245740
4/19/21,JLL,178.43,180.21,174.685,178.22,-0.96,-0.54%,246880
4/12/21,JLL,183.3,183.56,177.85,179.18,-4.14,-2.26%,281100
4/5/21,JLL,185,186.6,177.69,183.32,-1.2,-0.65%,253900
3/29/21,JLL,179.44,184.52,176.39,184.52,3.43,1.89%,319400
3/22/21,JLL,174.79,181.09,167.06,181.09,6.07,3.47%,295260
3/15/21,JLL,176,182.2,173.41,175.02,-0.78,-0.44%,269880
3/8/21,JLL,177.87,180.27,172.03,175.8,-1.38,-0.78%,286940
3/1/21,JLL,177.21,186.18,169.76,177.18,3.2,1.84%,563300
2/22/21,JLL,156.35,175.4,156.045,173.98,17.06,10.87%,546680
2/15/21,JLL,156.18,156.92,148.56,156.92,1.2,0.77%,250725
2/8/21,JLL,154.35,163.81,152.84,155.72,1.46,0.95%,478740
2/1/21,JLL,147.02,155.4,145.82,154.26,8.05,5.51%,832000
1/25/21,JLL,161.18,161.18,145.085,146.21,-13.69,-8.56%,458840
1/18/21,JLL,149.5,161.07,146.26,159.9,11.6,7.82%,292100
1/11/21,JLL,148.49,154.47,146.11,148.3,-1.39,-0.93%,316740
1/4/21,JLL,149.82,151.93,141.39,149.69,1.32,0.89%,346300
12/28/20,JLL,155,155.49,146.7,148.37,-5.39,-3.51%,243800
12/21/20,JLL,146.05,154.04,144.86,153.76,5.43,3.66%,307050
12/14/20,JLL,148.79,152.75,143.265,148.33,0.06,0.04%,574200
12/7/20,JLL,145.06,153.22,143.46,148.27,3.16,2.18%,643680
11/30/20,JLL,133.31,145.51,131.91,145.11,11.15,8.32%,1412060
11/23/20,JLL,133.12,141.81,130.8826,133.96,2.15,1.63%,630400
11/16/20,JLL,138.57,141.73,131.64,131.81,-0.64,-0.48%,498780
11/9/20,JLL,127.49,141.41,125.45,132.45,15.7,13.45%,746200
11/2/20,JLL,117,123.845,111.4,116.75,3.89,3.45%,506360
10/26/20,JLL,110.39,114.47,101.39,112.86,1,0.89%,536020
10/19/20,JLL,108.97,113.36,108.615,111.86,3.02,2.77%,420600
10/12/20,JLL,107.82,111.05,105.7224,108.84,1.71,1.60%,256040
10/5/20,JLL,100.3,109.85,99.73,107.13,7.93,7.99%,356920
9/28/20,JLL,97.37,99.41,93.91,99.2,4.2,4.42%,467620
9/21/20,JLL,100.5,101.085,90.86,95,-8.22,-7.96%,582180
9/14/20,JLL,101.28,109.705,101.28,103.22,2.47,2.45%,379420
9/7/20,JLL,102.16,104.1,98.09,100.75,-2.28,-2.21%,258175
8/31/20,JLL,105.4,107.905,100.5,103.03,-1.76,-1.68%,303780
8/24/20,JLL,97.49,105.2,96.3268,104.79,7.92,8.18%,332180
8/17/20,JLL,100.12,100.75,94.04,96.87,-3.48,-3.47%,355120
8/10/20,JLL,94.76,107.085,94.74,100.35,5.62,5.93%,388600
8/3/20,JLL,99.03,99.03,87.67,94.73,-4.18,-4.23%,613200
7/27/20,JLL,99.22,99.83,94.43,98.91,-1.15,-1.15%,400580
7/20/20,JLL,104.67,105.16,99.845,100.06,-5.54,-5.25%,307360
7/13/20,JLL,105.21,108.19,100.13,105.6,1.23,1.18%,202140
7/6/20,JLL,107.78,109.07,98.95,104.37,-0.75,-0.71%,276240
6/29/20,JLL,99.27,107.75,98.24,105.12,7,7.13%,331575
6/22/20,JLL,102.65,105,97.05,98.12,-6.27,-6.01%,388520
6/15/20,JLL,104.47,113.46,101.25,104.39,-4.78,-4.38%,435240
6/8/20,JLL,125.52,127.56,105.135,109.17,-13.51,-11.01%,338140
6/1/20,JLL,102.41,127.885,102.005,122.68,20.28,19.80%,427780
5/25/20,JLL,98.95,107.06,98.05,102.4,8.83,9.44%,540775
5/18/20,JLL,90.5,99.09,89.955,93.57,7.49,8.70%,352920
5/11/20,JLL,102.55,103.2,79.05,86.08,-18.1,-17.37%,547780
5/4/20,JLL,98.92,107.33,96.31,104.18,3.1,3.07%,379600
4/27/20,JLL,102.87,112.3,99.4,101.08,-1.4,-1.37%,481700
4/20/20,JLL,104.33,105.61,96.91,102.48,-4.52,-4.22%,326020
4/13/20,JLL,114.19,114.23,104.34,107,-8.37,-7.25%,432200
4/6/20,JLL,90.97,119,90,115.37,28.92,33.45%,549975
3/30/20,JLL,99.39,108.16,83.245,86.45,-13.28,-13.32%,652900
3/23/20,JLL,89.15,102.68,78.29,99.73,10.27,11.48%,760380
3/16/20,JLL,119,119.35,86.183,89.46,-44.67,-33.30%,927720
3/9/20,JLL,139.96,145.18,121.18,134.13,-10.97,-7.56%,994900
3/2/20,JLL,148.75,154.51,141.84,145.1,-2.67,-1.81%,612760
2/24/20,JLL,156.49,157.11,136.97,147.77,-13.43,-8.33%,538520
2/17/20,JLL,170.88,171.35,161.07,161.2,-10.14,-5.92%,245375
2/10/20,JLL,172.42,177.5,160.377,171.34,-1.39,-0.80%,368160
2/3/20,JLL,170.8,178.55,170.1005,172.73,2.91,1.71%,256260
1/27/20,JLL,166.09,172,165.565,169.82,0.36,0.21%,237260
1/20/20,JLL,171.19,172.015,168,169.46,-2.48,-1.44%,217275
1/13/20,JLL,170.2,173.09,168.14,171.94,1.4,0.82%,281800
1/6/20,JLL,172.36,174.52,169.99,170.54,-3.3,-1.90%,213260
12/30/19,JLL,173.18,175.99,171.22,173.84,0.59,0.34%,189300
12/23/19,JLL,172.84,174,170.7,173.25,0.74,0.43%,130675
12/16/19,JLL,170.96,173.61,169.07,172.51,2.41,1.42%,361760
12/9/19,JLL,169.47,171.515,167.06,170.1,0.45,0.27%,230040
12/2/19,JLL,167.32,171.23,163.79,169.65,3.32,2.00%,323960
11/25/19,JLL,166,170.16,165.88,166.33,0.23,0.14%,332700
11/18/19,JLL,163.6,166.81,162.69,166.1,2.31,1.41%,333860
11/11/19,JLL,159.57,164.96,158.07,163.79,2.15,1.33%,259540
11/4/19,JLL,151.5,163.03,150.36,161.64,11.3,7.52%,489020
10/28/19,JLL,147.01,150.42,145.78,150.34,4.05,2.77%,240280
10/21/19,JLL,144.59,146.62,142.18,146.29,2.7,1.88%,147140
10/14/19,JLL,139.5,145,138.53,143.59,3.69,2.64%,199140
10/7/19,JLL,132.41,141.45,131.69,139.9,6.69,5.02%,248720
9/30/19,JLL,139.8,141.22,127.18,133.21,-6.1,-4.38%,263980
9/23/19,JLL,136.09,141.58,135.55,139.31,2.19,1.60%,239820
9/16/19,JLL,140.36,142.05,136.08,137.12,-4.85,-3.42%,336080
9/9/19,JLL,138.15,144.75,137.845,141.97,4.52,3.29%,297620
9/2/19,JLL,133.04,139.31,130.9,137.45,3.4,2.54%,295625
8/26/19,JLL,130.75,135.02,128.565,134.05,4.34,3.35%,275180
8/19/19,JLL,134.64,138.37,129.36,129.71,-3.12,-2.35%,244080
8/12/19,JLL,140.34,141.129,127.13,132.83,-8.67,-6.13%,339940
8/5/19,JLL,140.69,143.61,133.1,141.5,-1.74,-1.21%,437940
7/29/19,JLL,143.98,150.5,141.59,143.24,-1.09,-0.76%,487660
7/22/19,JLL,141.14,145.32,139.65,144.33,3.62,2.57%,339100
7/15/19,JLL,139,141.995,137.3,140.71,2.12,1.53%,254560
7/8/19,JLL,138.99,141.59,135.45,138.59,-1.01,-0.72%,392060
7/1/19,JLL,142.49,144.21,136.63,139.6,-1.09,-0.77%,1066150
6/24/19,JLL,140.08,141.9,133.945,140.69,1.14,0.82%,455320
6/17/19,JLL,133.62,142,132.56,139.55,6.42,4.82%,445600
6/10/19,JLL,132.6,135.53,130.75,133.13,1.37,1.04%,230540
6/3/19,JLL,124.64,132.35,124.64,131.76,7.31,5.87%,364920
5/27/19,JLL,133.38,135.44,124.01,124.45,-8.29,-6.25%,375800
5/20/19,JLL,132.36,133.395,128.0755,132.74,-0.65,-0.49%,358380
5/13/19,JLL,134.19,138.91,132.79,133.39,-4.54,-3.29%,451800
5/6/19,JLL,150,151.45,134.84,137.93,-14.59,-9.57%,479700
4/29/19,JLL,155,156.38,150.48,152.52,-2.6,-1.68%,229200
4/22/19,JLL,155.21,157.64,153.13,155.12,-1.18,-0.75%,255520
4/15/19,JLL,156.4,156.64,151.87,156.3,0.41,0.26%,230225
4/8/19,JLL,155.23,156.44,152.09,155.89,-0.07,-0.04%,222880
4/1/19,JLL,155.7,156.94,153.02,155.96,1.78,1.15%,290780
3/25/19,JLL,147.85,156.28,147.29,154.18,5.98,4.04%,330520
3/18/19,JLL,162.83,164.53,147.74,148.2,-13.91,-8.58%,394720
3/11/19,JLL,161.51,164.25,159.23,162.11,1.33,0.83%,272240
3/4/19,JLL,164.87,167.19,157.0625,160.78,-3.45,-2.10%,366820
2/25/19,JLL,167.7,168,162.38,164.23,-2.96,-1.77%,342180
2/18/19,JLL,164,167.69,163.41,167.19,2.23,1.35%,322225
2/11/19,JLL,144.87,173.32,144.87,164.96,20.57,14.25%,562120
2/4/19,JLL,143.13,145.96,142.04,144.39,0.89,0.62%,186580
1/28/19,JLL,139.59,144.18,138.15,143.5,2.75,1.95%,178680
1/21/19,JLL,142.04,142.98,136.74,140.75,-2.08,-1.46%,221475
1/14/19,JLL,134.63,143.68,133.19,142.83,7.32,5.40%,214260
1/7/19,JLL,128.28,136.155,126.6,135.51,8.12,6.37%,247700
12/31/18,JLL,129.85,129.95,119.79,127.39,-1.59,-1.23%,383325
12/24/18,JLL,123.06,131.88,122.045,128.98,4,3.20%,240725
12/17/18,JLL,132.96,133.76,124.63,124.98,-8.27,-6.21%,449660
12/10/18,JLL,132.92,135.87,129.39,133.25,-0.15,-0.11%,336800
12/3/18,JLL,144.82,146,130.85,133.4,-9.8,-6.84%,322500
11/26/18,JLL,141.91,144.36,139.63,143.2,3.44,2.46%,322980
11/19/18,JLL,142.08,142.65,134.63,139.76,-2.02,-1.42%,241050
11/12/18,JLL,140,142.63,135.88,141.78,1.76,1.26%,312120
11/5/18,JLL,137.3,147,136.37,140.02,2.64,1.92%,330840
10/29/18,JLL,131.63,138.56,129.24,137.38,7.68,5.92%,349720
10/22/18,JLL,134.01,135.065,127.02,129.7,-3.32,-2.50%,313480
10/15/18,JLL,130.31,136.49,130.31,133.02,2.02,1.54%,274920
10/8/18,JLL,136.33,137.59,129.72,131,-6.01,-4.39%,344800
10/1/18,JLL,145.11,146.09,136.29,137.01,-7.31,-5.07%,262240
9/24/18,JLL,144.87,147.07,140.93,144.32,-1.13,-0.78%,474020
9/17/18,JLL,146.19,146.91,138.56,145.45,-1.01,-0.69%,398380
9/10/18,JLL,144.88,147.25,143.1,146.46,2.46,1.71%,362420
9/3/18,JLL,152.76,152.76,143.68,144,-8.52,-5.59%,206550
8/27/18,JLL,154.94,156.29,150.96,152.52,-1.59,-1.03%,229680
8/20/18,JLL,154.22,155.33,151.875,154.11,0.6,0.39%,288780
8/13/18,JLL,150.73,153.84,147.16,153.51,2.13,1.41%,340780
8/6/18,JLL,168.41,171.22,151.31,151.38,-17.07,-10.13%,507780
7/30/18,JLL,172.74,172.97,166.31,168.45,-3.9,-2.26%,187040
7/23/18,JLL,169.62,174.42,167.12,172.35,3.05,1.80%,264960
7/16/18,JLL,166.83,173.3,165.9,169.3,2.33,1.40%,229160
7/9/18,JLL,169.64,172.14,164.02,166.97,-1.67,-0.99%,280720
7/2/18,JLL,164.65,168.97,162.54,168.64,2.65,1.60%,235700
6/25/18,JLL,168.68,169.395,161.485,165.99,-2.84,-1.68%,305000
6/18/18,JLL,166.47,171.58,163.98,168.83,1.38,0.82%,340920
6/11/18,JLL,170.86,173.66,166.88,167.45,-3.32,-1.94%,371840
6/4/18,JLL,164.2,170.93,162.84,170.77,7.55,4.63%,362300
5/28/18,JLL,169,169.11,162.04,163.22,-6.85,-4.03%,530625
5/21/18,JLL,171.02,171.86,169.095,170.07,0.35,0.21%,290960
5/14/18,JLL,171.29,171.47,167.13,169.72,-1.05,-0.61%,362860
5/7/18,JLL,172.31,177.02,169.085,170.77,-0.9,-0.52%,538600
4/30/18,JLL,169.57,173.19,167.785,171.67,2.61,1.54%,370680
4/23/18,JLL,176.14,176.5,168.22,169.06,-6.41,-3.65%,286440
4/16/18,JLL,173.11,176.99,172.24,175.47,3.66,2.13%,364180
4/9/18,JLL,172.15,177.43,170.82,171.81,0.47,0.27%,348320
4/2/18,JLL,174.39,175.4,165.68,171.34,-3.3,-1.89%,436400
3/26/18,JLL,170.05,177.46,168.51,174.64,6.83,4.07%,352075
3/19/18,JLL,173.76,178.75,167.39,167.81,-6.26,-3.60%,427000
3/12/18,JLL,171.29,174.555,170.35,174.07,2.39,1.39%,377460
3/5/18,JLL,160,173.23,160,171.68,10.87,6.76%,322300
2/26/18,JLL,160.16,165.41,157.86,160.81,0.81,0.51%,326060
2/19/18,JLL,157.35,162.88,157.35,160,1.77,1.12%,311225
2/12/18,JLL,151.71,160.69,148.96,158.23,8.01,5.33%,443040
2/5/18,JLL,149.92,156.33,142.32,150.22,-1.45,-0.96%,521000
1/29/18,JLL,157.4,158.82,150.09,151.67,-5.73,-3.64%,253260
1/22/18,JLL,154.5,157.69,152.25,157.4,2.23,1.44%,186440
1/15/18,JLL,155,155.4,151.56,155.17,1.3,0.84%,194200
1/8/18,JLL,154.04,155.89,151.6,153.87,-0.59,-0.38%,185040
1/1/18,JLL,149.31,155.52,149.19,154.46,5.53,3.71%,270950
12/25/17,JLL,149.57,151.41,148.7,148.93,-0.64,-0.43%,148850
12/18/17,JLL,149.83,151.11,146.14,149.57,1.09,0.73%,242500
12/11/17,JLL,150.47,151.99,144.96,148.48,-1.61,-1.07%,430640
12/4/17,JLL,153.37,154.24,148.19,150.09,-1.97,-1.30%,362220
11/27/17,JLL,149.89,154.37,148.38,152.06,1.89,1.26%,325660
11/20/17,JLL,150.97,152.655,147.89,150.17,-0.7,-0.46%,398225
11/13/17,JLL,144.34,155.25,144.34,150.87,5.11,3.51%,388020
11/6/17,JLL,139,146.96,134.94,145.76,12.26,9.18%,432360
10/30/17,JLL,126.07,133.57,125.8,133.5,6.13,4.81%,266740
10/23/17,JLL,130.55,130.81,125.02,127.37,-3.27,-2.50%,270940
10/16/17,JLL,131.66,133.065,130,130.64,-0.89,-0.68%,223200
10/9/17,JLL,128,132.625,126.87,131.53,2.91,2.26%,231260
10/2/17,JLL,123.46,129.41,123.18,128.62,5.12,4.15%,139780
9/25/17,JLL,122.09,126.135,121.84,123.5,1.47,1.20%,133280
9/18/17,JLL,120.82,122.29,120.12,122.03,1.33,1.10%,167700
