Time,Symbol,Open,High,Low,Last,Change,%Chg,Volume
11/8/21,PYPL,227.96,230.97,226.25,229.42,3.64,1.61%,22311142
11/1/21,PYPL,232.7,233.55,224.6,225.78,-6.81,-2.93%,14346780
10/25/21,PYPL,254.96,255.52,231.71,232.59,-7.81,-3.25%,16758760
10/18/21,PYPL,266.39,273.51,239.75,240.4,-27.95,-10.42%,21260900
10/11/21,PYPL,257.93,269.7209,253.78,268.35,8.29,3.19%,5641560
10/4/21,PYPL,261.84,268.6933,251.59,260.06,-4.59,-1.73%,5516220
9/27/21,PYPL,274.78,276.78,256.89,264.65,-13.46,-4.84%,5937140
9/20/21,PYPL,271.55,279.95,265.68,278.11,1.77,0.64%,5404720
9/13/21,PYPL,286.72,287.19,275.92,276.34,-7.98,-2.81%,4966720
9/6/21,PYPL,290.41,296.7,283.33,284.32,-4.81,-1.66%,6453825
8/30/21,PYPL,279.61,292.65,279.08,289.13,10.8,3.88%,7809180
8/23/21,PYPL,275.75,279.8296,273.02,278.33,5.37,1.97%,4197180
8/16/21,PYPL,273.73,279.19,266.6033,272.96,-1.95,-0.71%,5476400
8/9/21,PYPL,280.22,281.1,272.5,274.91,-4.63,-1.66%,4896760
8/2/21,PYPL,276.885,282.3699,269.57,279.54,4.01,1.46%,7692600
7/26/21,PYPL,309.66,310.16,274.21,275.53,-33,-10.70%,9971840
7/19/21,PYPL,292.35,309.475,288.81,308.53,13.9,4.72%,4886980
7/12/21,PYPL,302.37,307.82,294.14,294.63,-5.58,-1.86%,5350280
7/5/21,PYPL,290.04,300.83,289.46,300.21,9.97,3.44%,5803125
6/28/21,PYPL,290.85,295.18,285.76,290.24,0.64,0.22%,4690320
6/21/21,PYPL,283.2788,296.01,276.725,289.6,6.22,2.19%,6416160
6/14/21,PYPL,271.9,286.38,265.3099,283.38,11.93,4.39%,8040840
6/7/21,PYPL,262.48,271.8999,260.19,271.45,8.41,3.20%,4721960
5/31/21,PYPL,261.08,264.7799,256.15,263.04,3.02,1.16%,5426150
5/24/21,PYPL,254.13,263.15,252.43,260.02,9.33,3.72%,5831260
5/17/21,PYPL,245.15,255.21,235.11,250.69,4.4,1.79%,6415440
5/10/21,PYPL,252.01,252.41,233.61,246.29,-7.07,-2.79%,8164140
5/3/21,PYPL,265.06,265.8,245.11,253.36,-8.93,-3.40%,10883040
4/26/21,PYPL,266.66,275.25,261.6,262.29,-3.74,-1.41%,5482420
4/19/21,PYPL,267.13,272.58,259.27,266.03,-3.84,-1.42%,5683520
4/12/21,PYPL,265.39,277.86,262.59,269.87,3.1,1.16%,7215380
4/5/21,PYPL,250.51,266.94,245.7,266.77,19.23,7.77%,6863300
3/29/21,PYPL,241.58,252.6492,232.6301,247.54,6.51,2.70%,7094050
3/22/21,PYPL,242.03,246.95,227.52,241.03,-0.25,-0.10%,6808960
3/15/21,PYPL,251.42,254.78,237.13,241.28,-9.07,-3.62%,8132380
3/8/21,PYPL,239,254.92,225.65,250.35,11.3,4.73%,10352620
3/1/21,PYPL,268.89,277.5,223.09,239.05,-20.8,-8.00%,13118780
2/22/21,PYPL,281.42,285,251.42,259.85,-27.07,-9.43%,13946180
2/15/21,PYPL,306.4,309.14,285.03,286.92,-11.45,-3.84%,10651650
2/8/21,PYPL,276.88,302.1,274.6235,298.37,28.93,10.74%,12279760
2/1/21,PYPL,238.37,274.94,235.4,269.44,35.13,14.99%,12047180
1/25/21,PYPL,253.8,254.39,225,234.31,-17.69,-7.02%,9254100
1/18/21,PYPL,243.3,254.39,241,252,12.21,5.09%,7844225
1/11/21,PYPL,238.04,249.85,233.83,239.79,-2.67,-1.10%,6384680
1/4/21,PYPL,237.8,242.91,225.7021,242.46,8.26,3.53%,7256720
12/28/20,PYPL,243.5,243.5,229.68,234.2,-4.44,-1.86%,6603925
12/21/20,PYPL,232.62,244.25,232.2013,238.64,2.19,0.93%,5992975
12/14/20,PYPL,215.95,238.1,215,236.45,22.39,10.46%,9365240
12/7/20,PYPL,217.39,219.32,206.65,214.06,-3.71,-1.70%,5886080
11/30/20,PYPL,212.51,220.57,207.09,217.77,6.38,3.02%,8904000
11/23/20,PYPL,194.53,216.07,193.92,211.39,18.72,9.72%,11495475
11/16/20,PYPL,185.19,194.73,183.54,192.67,4.05,2.15%,9116380
11/9/20,PYPL,195.74,196.07,178.6,188.62,-14.11,-6.96%,10881280
11/2/20,PYPL,189.01,204.92,174.81,202.73,16.6,8.92%,17082460
10/26/20,PYPL,200.66,203.89,182.92,186.13,-16.91,-8.33%,8037700
10/19/20,PYPL,205.52,215.83,199.1,203.04,-1.41,-0.69%,9544860
10/12/20,PYPL,199.87,209.02,196.6323,204.45,7.18,3.64%,8926940
10/5/20,PYPL,193.55,197.37,190.88,197.27,5.36,2.79%,5567860
9/28/20,PYPL,191,201.27,188.09,191.91,4.66,2.49%,7222300
9/21/20,PYPL,174.84,188.47,174.08,187.25,11.18,6.35%,8893600
9/14/20,PYPL,186,190.45,171.63,176.07,-7.93,-4.31%,9677660
9/7/20,PYPL,184.7,198.22,180.93,184,-7.84,-4.09%,8128775
8/31/20,PYPL,203.7,212.45,182.85,191.84,-12.64,-6.18%,10425380
