Time,Symbol,Open,High,Low,Last,Change,%Chg,Volume
11/8/21,SNX,114.96,115.72,111.99,112.29,-2.14,-1.87%,200547
11/1/21,SNX,105.01,115.58,105.01,114.43,9.43,8.98%,277540
10/25/21,SNX,104.74,106.235,101.56,105,0,0.00%,388680
10/18/21,SNX,105.1,109.01,103.45,105,-0.75,-0.71%,338540
10/11/21,SNX,105.24,107.43,102.02,105.75,0.45,0.43%,328400
10/4/21,SNX,105.82,108.53,103.76,105.3,-1.02,-0.96%,348120
9/27/21,SNX,111.16,113.74,100.035,106.32,-5.1,-4.58%,637280
9/20/21,SNX,112.5,114.07,110.485,111.42,-3.87,-3.36%,205480
9/13/21,SNX,118.94,120.62,114.94,115.29,-3.12,-2.63%,269540
9/6/21,SNX,126.52,128.04,118.2,118.41,-9.24,-7.24%,227200
8/30/21,SNX,129.21,130.93,125.6,127.65,-1.05,-0.82%,151500
8/23/21,SNX,126.58,129.84,124.4814,128.7,3.51,2.80%,127260
8/16/21,SNX,123.97,125.47,121.075,125.19,0.48,0.38%,96940
8/9/21,SNX,122.5,127.36,121.2,124.71,2.01,1.64%,136060
8/2/21,SNX,119.54,124.085,116.53,122.7,3.16,2.64%,175160
7/26/21,SNX,118,121.3399,115.484,119.54,2.43,2.07%,216320
7/19/21,SNX,109.47,117.46,108.38,117.11,5.51,4.94%,304660
7/12/21,SNX,119.45,120.08,111.4,111.6,-8.81,-7.32%,245200
7/5/21,SNX,120.63,120.81,113.785,120.41,-0.46,-0.38%,386900
6/28/21,SNX,123.16,124.14,120.51,120.87,-0.47,-0.39%,238620
6/21/21,SNX,118.8,121.69,116.31,121.34,3.73,3.17%,349500
6/14/21,SNX,129.49,130.55,116.48,117.61,-11.87,-9.17%,321660
6/7/21,SNX,127.85,129.69,125.7458,129.48,1.67,1.31%,196920
5/31/21,SNX,127.96,128.23,125.17,127.81,1.21,0.96%,181275
5/24/21,SNX,126.18,129.6399,124.52,126.6,3.79,3.09%,223660
5/17/21,SNX,119.98,125.085,117.61,122.81,1.84,1.52%,240840
5/10/21,SNX,123.67,123.865,114.0001,120.97,-2.53,-2.05%,299380
5/3/21,SNX,122.41,124.56,119.93,123.5,2.3,1.90%,283100
4/26/21,SNX,124.57,126.21,121.02,121.2,-3,-2.42%,257600
4/19/21,SNX,123.58,126.55,122.13,124.2,0.24,0.19%,372520
4/12/21,SNX,119.45,124.175,117.4601,123.96,3.97,3.31%,242680
4/5/21,SNX,117.76,121.4999,116.91,119.99,3.01,2.57%,382260
3/29/21,SNX,117.19,117.99,112.05,116.98,0.28,0.24%,306300
3/22/21,SNX,108.8,116.7,106.92,116.7,13.5,13.08%,777760
3/15/21,SNX,102.71,108.095,101.145,103.2,0.53,0.52%,447020
3/8/21,SNX,92.94,102.84,92.915,102.67,10.14,10.96%,269880
3/1/21,SNX,91.17,95.04,87.94,92.53,3.37,3.78%,249380
2/22/21,SNX,87.33,92,84.2201,89.16,0.75,0.85%,256800
2/15/21,SNX,90.99,90.99,86.14,88.41,-1.59,-1.77%,221325
2/8/21,SNX,87.93,91.52,87.02,90,2.37,2.70%,259120
2/1/21,SNX,82.86,88.5,82.5,87.63,6.01,7.36%,302420
1/25/21,SNX,89.7,89.97,80.36,81.62,-8.16,-9.09%,386540
1/18/21,SNX,88.12,91.62,88,89.78,2.26,2.58%,283500
1/11/21,SNX,86.51,91.4,82.56,87.52,0.62,0.71%,584880
1/4/21,SNX,82.23,89.865,79.05,86.9,5.46,6.70%,510740
12/28/20,SNX,83.46,84.39,80.45,81.44,-1.25,-1.51%,222175
12/21/20,SNX,80.94,82.91,79.45,82.69,0.51,0.62%,282850
12/14/20,SNX,81.3,85.38,78.55,82.18,1.57,1.95%,506720
12/7/20,SNX,80.88,82.4,77.16,80.61,-0.33,-0.41%,520500
11/30/20,SNX,66.3265,83.4,64.7061,80.94,14.4828,21.79%,1322593
11/23/20,SNX,62.8653,67.2408,62.7551,66.4572,4.1388,6.64%,596635
11/16/20,SNX,62.2041,65.0082,61.0041,62.3184,0.551,0.89%,763419
11/9/20,SNX,63.8531,64.0816,59.3857,61.7674,1.5715,2.61%,617595
11/2/20,SNX,54.2857,61.2123,54.2857,60.1959,6.4653,12.03%,616076
10/26/20,SNX,58.3469,58.7469,52.6531,53.7306,-5.6082,-9.45%,658559
10/19/20,SNX,60.8939,61.8653,58.2082,59.3388,-1.4041,-2.31%,589910
10/12/20,SNX,61.7878,61.8327,58.1429,60.7429,-0.5877,-0.96%,667575
10/5/20,SNX,60.8653,63.8204,60.5265,61.3306,1.0694,1.77%,942612
9/28/20,SNX,52.8898,60.7102,52.7878,60.2612,8.0163,15.34%,1976414
9/21/20,SNX,52.8776,54.6286,50.4898,52.2449,-1.9959,-3.68%,1083928
9/14/20,SNX,51.2612,55.1306,51.2041,54.2408,3.5796,7.07%,1088338
9/7/20,SNX,50.0204,52.0204,50.0204,50.6612,-0.4286,-0.84%,721769
8/31/20,SNX,52.2612,54.5061,50.1102,51.0898,-1.1714,-2.24%,771504
8/24/20,SNX,51.1633,52.5959,51.1633,52.2612,1.5632,3.08%,521163
8/17/20,SNX,52.0163,52.6612,50.1265,50.698,-0.8571,-1.66%,563842
8/10/20,SNX,52.5143,54.1469,51.3755,51.5551,-0.951,-1.81%,682716
8/3/20,SNX,51.1796,53.5021,50.9306,52.5061,1.5918,3.13%,565606
7/27/20,SNX,49.6082,51.2204,49.3265,50.9143,1.2286,2.47%,571535
7/20/20,SNX,49.5796,51.3898,49.2449,49.6857,-0.151,-0.30%,765085
7/13/20,SNX,49.9143,50.7143,47.5776,49.8367,0.3224,0.65%,830941
7/6/20,SNX,48.7469,49.7878,47.0204,49.5143,1.7429,3.65%,1233672
6/29/20,SNX,48.0408,49.3674,46.751,47.7714,0.2285,0.48%,1710221
6/22/20,SNX,41.2898,48.551,40.596,47.5429,5.9919,14.42%,2634141
6/15/20,SNX,39.0735,42.8694,38.6408,41.551,0.8081,1.98%,1035418
6/8/20,SNX,47.2776,48.6327,39.4763,40.7429,-6.0571,-12.94%,1004744
6/1/20,SNX,43.6,48.3714,43.3469,46.8,3.2694,7.51%,998374
5/25/20,SNX,43.2204,45.8816,42.6388,43.5306,2.4735,6.02%,755211
5/18/20,SNX,38.8286,42.2449,38.2082,41.0571,3.7306,9.99%,917720
5/11/20,SNX,36.5592,38.7306,34.1429,37.3265,0.0449,0.12%,1091572
5/4/20,SNX,34.449,37.3633,34.2857,37.2816,2.2571,6.44%,885478
4/27/20,SNX,31.7306,36.0449,31.4449,35.0245,3.9184,12.60%,1166738
4/20/20,SNX,31.1265,31.6245,28.649,31.1061,-0.8368,-2.62%,900668
4/13/20,SNX,34.9184,35.1959,29.9306,31.9429,-2.9142,-8.36%,1032527
4/6/20,SNX,29.1959,36.151,28.6939,34.8571,7.253,26.28%,1132817
3/30/20,SNX,29.3755,31.8367,27.2041,27.6041,-1.7184,-5.86%,1526643
3/23/20,SNX,30.8857,33.8408,28.6245,29.3225,-1.2489,-4.09%,1762088
3/16/20,SNX,35.102,35.102,21.249,30.5714,-7.1266,-18.90%,1405858
3/9/20,SNX,46.5306,46.5306,33.7347,37.698,-12.1428,-24.36%,979215
3/2/20,SNX,51.6408,54.298,49.0408,49.8408,-1.1919,-2.34%,743427
2/24/20,SNX,55.8572,56.5429,49.3878,51.0327,-6.8245,-11.80%,1132389
2/17/20,SNX,57.9959,59.3306,57.3959,57.8572,-0.2734,-0.47%,590020
2/10/20,SNX,56.1714,59.1225,56.0082,58.1306,1.6367,2.90%,763958
2/3/20,SNX,56.6776,58.6245,56.351,56.4939,0.2653,0.47%,708490
1/27/20,SNX,56.9347,57.8041,55.5633,56.2286,-2.049,-3.52%,931587
1/20/20,SNX,59.5225,60.4327,57.8694,58.2776,-1.6653,-2.78%,969280
1/13/20,SNX,59.9184,62.4775,59.551,59.9429,0.5306,0.89%,1352742
1/6/20,SNX,52.2816,60.6653,51.4572,59.4123,6.4939,12.27%,1769291
12/30/19,SNX,52.6327,53.2449,52.0245,52.9184,0.2694,0.51%,519031
