Time,Symbol,Open,High,Low,Last,Change,%Chg,Volume
11/8/21,TXRH,95.56,95.72,92.23,92.73,-3.02,-3.15%,746819
11/1/21,TXRH,89,96.11,87.2041,95.75,6.94,7.81%,1021355
10/25/21,TXRH,89.94,93.53,85.86,88.81,-0.8,-0.89%,1302502
10/18/21,TXRH,88.31,91.95,85.81,89.61,0.48,0.54%,979220
10/11/21,TXRH,92.73,94.5,87.92,89.13,-3.64,-3.92%,668880
10/4/21,TXRH,94.68,96.41,91.205,92.77,-2.41,-2.53%,761260
9/27/21,TXRH,94.97,97.43,90.52,95.18,0.46,0.49%,580940
9/20/21,TXRH,89.8,95.085,88.68,94.72,3.36,3.68%,720860
9/13/21,TXRH,92.73,92.74,89.86,91.36,-0.58,-0.63%,834340
9/6/21,TXRH,93.14,94.35,91.65,91.94,-1.68,-1.79%,472725
8/30/21,TXRH,95.2,96.2,92.4,93.62,-1.89,-1.98%,720900
8/23/21,TXRH,90.75,95.755,90.065,95.51,5.26,5.83%,626880
8/16/21,TXRH,88.37,91.26,87.95,90.25,1.29,1.45%,879180
8/9/21,TXRH,91,91.58,88.18,88.96,-2.75,-3.00%,653940
8/2/21,TXRH,92.45,94.265,87.31,91.71,-0.46,-0.50%,1062840
7/26/21,TXRH,98.6,102.2,91.51,92.17,-5.93,-6.04%,1259200
7/19/21,TXRH,92.46,98.52,88.76,98.1,3.73,3.95%,923760
7/12/21,TXRH,96.56,98.955,93.32,94.37,-2.19,-2.27%,492020
7/5/21,TXRH,95.93,96.64,92.985,96.56,0.71,0.74%,648475
6/28/21,TXRH,97.67,98.01,93.62,95.85,-1.81,-1.85%,598900
6/21/21,TXRH,91.07,98.41,90.41,97.66,7.16,7.91%,1030480
6/14/21,TXRH,98.57,99.05,89.705,90.5,-8.12,-8.23%,997100
6/7/21,TXRH,97.69,102.8,96.84,98.62,0.9,0.92%,734500
5/31/21,TXRH,100.99,101.25,93.09,97.72,-2.99,-2.97%,1120275
5/24/21,TXRH,97.88,101.28,96.96,100.71,4.09,4.23%,870320
5/17/21,TXRH,101.25,101.67,95.25,96.62,-1.93,-1.96%,859920
5/10/21,TXRH,104.01,104.53,94.9,98.55,-6.08,-5.81%,814200
5/3/21,TXRH,108.11,109.41,101.06,104.63,-2.39,-2.23%,855780
4/26/21,TXRH,101.14,110.75,98.53,107.02,6.66,6.64%,958960
4/19/21,TXRH,99.13,101.9,94.66,100.36,1.43,1.45%,576560
4/12/21,TXRH,100.45,100.45,95.32,98.93,-0.53,-0.53%,746460
4/5/21,TXRH,97.5,100.7699,95.55,99.46,3.18,3.30%,611160
3/29/21,TXRH,97.22,98.32,94.63,96.28,-1.49,-1.52%,536875
