Time,Symbol,Open,High,Low,Last,Change,%Chg,Volume
11/8/21,VMW,125,128.79,124.61,128.41,3.86,3.10%,3187275
11/1/21,VMW,151.5,154.33,124.08,124.55,-27.15,-17.90%,5242320
10/25/21,VMW,166.41,166.62,151.14,151.7,-15.36,-9.19%,1632060
10/18/21,VMW,155.77,167.83,155.13,167.06,10.67,6.82%,1682580
10/11/21,VMW,147.09,156.74,146.2,156.39,8.56,5.79%,830180
10/4/21,VMW,151.15,154.82,147.12,147.83,-4.08,-2.69%,1181460
9/27/21,VMW,144.49,152.52,144.09,151.91,6.35,4.36%,1060040
9/20/21,VMW,137.58,146.26,136.57,145.56,5.89,4.22%,1746860
9/13/21,VMW,142.14,144.9,137.8,139.67,-1.65,-1.17%,1939600
9/6/21,VMW,146.52,146.835,140.81,141.32,-3.79,-2.61%,1482625
8/30/21,VMW,148.03,150.59,145.06,145.11,-3.07,-2.07%,1502180
8/23/21,VMW,156.51,160,143.12,148.18,-7.2,-4.63%,1961680
8/16/21,VMW,157.56,158,151.9,155.38,-2.28,-1.45%,853000
8/9/21,VMW,156.15,158.5,155.77,157.66,0.28,0.18%,698120
8/2/21,VMW,154.44,158.85,153.53,157.38,3.64,2.37%,675680
7/26/21,VMW,157.76,159.4,151.94,153.74,-4.6,-2.91%,653080
7/19/21,VMW,148.34,158.62,147.85,158.34,8.27,5.51%,752520
7/12/21,VMW,159.04,159.1,148.92,150.07,-9.41,-5.90%,1015800
7/5/21,VMW,157.01,159.77,155.59,159.48,1.8,1.14%,740900
6/28/21,VMW,157.42,164,155.04,157.68,0.56,0.36%,951720
6/21/21,VMW,155.39,158.73,154.28,157.12,2.6,1.68%,935400
6/14/21,VMW,163.76,164.485,153.34,154.52,-9.67,-5.89%,1236220
6/7/21,VMW,161.47,164.73,160.27,164.19,2.82,1.75%,962920
5/31/21,VMW,159.34,162.73,157.6,161.37,3.48,2.20%,1293150
5/24/21,VMW,161.52,163.54,156.25,157.89,-3.49,-2.16%,1131180
5/17/21,VMW,164.04,164.82,157.86,161.38,-2.92,-1.78%,805660
5/10/21,VMW,162.63,164.97,156.19,164.3,0.89,0.54%,1240620
5/3/21,VMW,160.4,165.6237,157.32,163.41,2.58,1.60%,1060880
4/26/21,VMW,166.22,166.55,159.81,160.83,-4.91,-2.96%,763900
4/19/21,VMW,164,172,163.03,165.74,1.64,1.00%,1444400
4/12/21,VMW,154.2,165.08,153.26,164.1,10.1,6.56%,1673760
4/5/21,VMW,151.79,156.25,150.18,154,1.6,1.05%,783060
3/29/21,VMW,153,156.5986,149.04,152.4,-1.54,-1.00%,1021050
3/22/21,VMW,145.28,154,142.74,153.94,7.96,5.45%,1088740
3/15/21,VMW,148.16,150.74,145.6975,145.98,-2.18,-1.47%,1116580
3/8/21,VMW,143.67,149.17,143.17,148.16,4.27,2.97%,1086460
3/1/21,VMW,138.51,144.08,135.8501,143.89,5.68,4.11%,1322280
2/22/21,VMW,143.91,147.5,137.92,138.21,-6.47,-4.47%,1462220
2/15/21,VMW,146.51,147.03,139.39,144.68,-0.45,-0.31%,992350
2/8/21,VMW,146.02,148.73,141.5,145.13,-0.59,-0.40%,1045560
2/1/21,VMW,138.35,146.64,136.45,145.72,7.87,5.71%,1279200
1/25/21,VMW,135.01,146.98,132.5535,137.85,3.35,2.49%,2183440
1/18/21,VMW,135.92,135.92,130.5,134.5,-0.31,-0.23%,2396150
1/11/21,VMW,140.77,144.8661,131.51,134.81,-8.05,-5.63%,3008140
1/4/21,VMW,139.44,145.05,135.89,142.86,2.6,1.85%,1055460
12/28/20,VMW,143.87,143.886,137.555,140.26,-2.64,-1.85%,835275
12/21/20,VMW,137.6,144.13,136.27,142.9,2.76,1.97%,967450
12/14/20,VMW,142,149.325,137.56,140.14,-1.71,-1.21%,1801320
12/7/20,VMW,140.21,142.47,138.7,141.85,1.62,1.16%,1344980
11/30/20,VMW,142.5,143.23,139.305,140.23,-1.85,-1.30%,1641700
11/23/20,VMW,148.5,151.24,139.6701,142.08,-5.72,-3.87%,2197225
11/16/20,VMW,141.69,149.72,140.77,147.8,5.94,4.19%,906660
11/9/20,VMW,145.74,146.22,136.81,141.86,1.57,1.12%,836000
11/2/20,VMW,130.03,141.62,126.79,140.29,11.56,8.98%,994500
10/26/20,VMW,147.47,147.47,126.91,128.73,-20.47,-13.72%,1568140
10/19/20,VMW,153,154.38,145.81,149.2,-3.41,-2.23%,673100
10/12/20,VMW,151.65,157.48,151.44,152.61,1.13,0.75%,876720
10/5/20,VMW,144.01,152.98,143.66,151.48,8.53,5.97%,983580
9/28/20,VMW,143,148.45,141,142.95,1.3,0.92%,1037000
9/21/20,VMW,138.26,143.37,137.38,141.65,0.46,0.33%,779880
9/14/20,VMW,143.2,147.245,139.76,141.19,-0.82,-0.58%,1109720
9/7/20,VMW,134.46,143.15,132.86,142.01,4.54,3.30%,1242700
8/31/20,VMW,146.5,150.2399,135.91,137.47,-8.62,-5.90%,1635200
8/24/20,VMW,140.13,147.79,139.2101,146.09,7.24,5.21%,1917900
8/17/20,VMW,136.13,140.84,135.481,138.85,3,2.21%,1205480
8/10/20,VMW,142.31,143.385,135.075,135.85,-6.46,-4.54%,1095980
8/3/20,VMW,140,146.4,139.09,142.31,2.1,1.50%,877700
7/27/20,VMW,140.76,141.36,135.71,140.21,-0.61,-0.43%,811880
7/20/20,VMW,140.41,146.9,139.32,140.82,0.89,0.64%,975000
7/13/20,VMW,147,147.05,134.7,139.93,-6.16,-4.22%,1777920
7/6/20,VMW,151.86,152.7,145.28,146.09,-3.79,-2.53%,1178960
6/29/20,VMW,147.78,157,146.26,149.88,3.38,2.31%,1696350
6/22/20,VMW,150,161.951,146.28,146.5,-4.19,-2.78%,2528800
6/15/20,VMW,133.47,152,132.41,150.69,14.84,10.92%,1733760
6/8/20,VMW,151.2,153.19,133.21,135.85,-13.92,-9.29%,1373160
6/1/20,VMW,153.92,156.09,146.88,149.77,-6.5,-4.16%,1574180
5/25/20,VMW,139.32,157,134.45,156.27,21.67,16.10%,2561750
5/18/20,VMW,138,141.6835,133.24,134.6,0.12,0.09%,1134640
5/11/20,VMW,139.3,142.69,128.8,134.48,-5.83,-4.16%,1144520
5/4/20,VMW,124.43,140.96,122.7728,140.31,14.97,11.94%,1124520
4/27/20,VMW,130.06,135.32,124.9,125.34,-2.83,-2.21%,854040
4/20/20,VMW,133.58,136.51,121.78,128.17,-8.31,-6.09%,1277700
4/13/20,VMW,130.29,139.13,127.77,136.48,5.05,3.84%,1777540
4/6/20,VMW,122.56,134.65,119.08,131.43,14.46,12.36%,1591700
3/30/20,VMW,116.46,124.75,112.252,116.97,1.23,1.06%,1408880
3/23/20,VMW,104.67,127.865,99.27,115.74,10.02,9.48%,1871520
3/16/20,VMW,96.56,113.19,86,105.72,-2.16,-2.00%,2145620
3/9/20,VMW,107.26,114.49,96.38,107.88,-9.25,-7.90%,2302460
3/2/20,VMW,120.84,128.2,114.56,117.13,-3.39,-2.81%,2426220
2/24/20,VMW,152.66,153.43,116,120.52,-39.35,-24.61%,2644040
2/17/20,VMW,160.49,163.17,158.0801,159.87,-1.95,-1.21%,977025
2/10/20,VMW,154.34,161.97,153.51,161.82,5.55,3.55%,1118720
2/3/20,VMW,148.5,158.73,148.28,156.27,8.21,5.55%,1030020
1/27/20,VMW,147.75,151.63,145.24,148.06,-2.57,-1.71%,949580
1/20/20,VMW,151,157.35,148.29,150.63,-0.73,-0.48%,1110025
1/13/20,VMW,150.81,155.18,149.42,151.36,1.49,0.99%,1047560
1/6/20,VMW,153,155.23,147.605,149.87,-4.15,-2.69%,1178980
12/30/19,VMW,154.16,155.71,151.4,154.02,-0.14,-0.09%,906400
12/23/19,VMW,151.22,154.61,150.31,154.16,3.12,2.07%,621425
12/16/19,VMW,151.76,152,147.9,151.04,-0.26,-0.17%,1309720
12/9/19,VMW,147,156.25,146.86,151.3,4.22,2.87%,1388180
